		D0052A	D0053A	D0057A	D0058A	D0063A	D0064A	D0068A	D0069A	D0073A	D0074A	D0078A	D0079A	D0085A	D0086A	D0089A	D0090A	D0095A	D0096A	D0100A	D0101A	D0105A	D0107A	D0110A	D0111A	D0116A	D0117A	D0121A	D0122A	D0127A	D0128A	D0132A	D0133A	D0137A	D0138A	D0142A	D0143A	D0147A	D0148A	D0152A	D0153A	D0158A	D0159A	D0163A	D0164A	D0167A	D0173A	D0174A	D0177A	D0182A	D0187A	D0192A	D0198A	D0203A	D0208A	D0213A	D0270A	D0271A	D0275A	D0276A	D1030A	D1031A
Proteobacteria	S26C590-Lasker2018	-6.00736172	-6.02420921	-6.579422147	-7.161851072	-5.079712982	-5.0687868	-6.135395889	-6.476318507	-5.369681154	-5.381967142	-5.111309474	-4.905935337	-5.383888763	-5.346085513	-3.018597891	-2.986514746	-5.063275063	-5.099140758	-3.651625636	-3.210445089	-5.441762077	-5.509496182	-3.687563361	-3.601105565	-2.932010505	-2.628419795	-3.031649918	-3.033032684	-6.738003812	-6.697566884	-3.716482949	-4.485765089	-6.642020777	-6.775694743	-4.795401946	-4.738014957	-7.960697695	-7.850244463	-9.034375979	-9.286272838	-6.692288721	-6.699599729	-8.79969212	-9.789319398	-7.993155493	-4.363336822	-4.15478149	-8.626303507	-8.170057229	-3.897347913	-3.337950028	-6.547452055	-3.585411188	-8.543369111	-3.345133138	-5.380413129	-4.587841007	-4.144860769	-4.537164121	-2.786256048	-2.916549388
Bacteroidota	S26C79-Lasker2021	-10.34989029	-11.53611753	-7.526852132	-7.633106529	-5.472172854	-5.456316057	-7.11196067	-7.375283351	-13.33847509	-12.38743219	-13.40335501	-14.21973939	-12.04493574	-11.86646689	-9.644970772	-9.402301743	-14.49540388	-12.53312715	-11.2662354	-11.02535307	-12.4745856	-13.40270453	-9.220019403	-9.511326904	-6.139500162	-6.001792699	-10.04270213	-10.36279182	-10.18048372	-10.25960922	-7.645007713	-8.093366428	-11.70952239	-11.65271089	-9.45710599	-9.490936277	-10.30295244	-12.11107255	-9.40600556	-9.015304733	-7.895102125	-8.385529298	-9.425042279	-10.04880093	-11.47127482	-11.82324377	-10.74872377	-12.25572371	-10.26253809	-9.527009197	-8.777401157	-11.40205014	-9.781891777	-12.1038143	-6.19978136	-10.22754881	-9.063034349	-7.565241845	-7.771596076	-9.010837595	-9.910428284
Proteobacteria	S26C81-Lasker2018	-8.103425876	-5.49651029	-10.89551279	-11.15316146	-8.429640432	-6.156003681	-12.35312665	-11.89380967	-8.065595925	-5.66122403	-11.04073816	-10.74658754	-9.044019191	-5.655921142	-11.78026636	-11.75673778	-9.061636011	-6.096291694	-11.71871067	-12.07375106	-9.060073969	-7.141344143	-10.69845322	-10.97334319	-6.880858269	-2.419261605	-11.90623959	-11.5941878	-8.542591464	-4.75162866	-13.44922615	-13.12219159	-8.083683696	-4.996106697	-12.57018892	-11.98750508	-9.362668697	-6.051834191	-11.30361369	-11.17620312	-9.219987012	-6.444024785	-12.0413457	-11.03171098	-5.563475133	-20.72326584	-13.48829864	-6.342502267	-12.32660893	-5.949618322	-13.88962513	-6.103015339	-11.2267317	-6.105423882	-12.31642627	-8.857164844	-5.923583643	-11.87975615	-12.10272053	-12.03081481	-11.46476731
Thermoplasmatota	S27C136-Lasker2021	-2.1886506	-2.159286404	-6.295333402	-6.526537987	-3.518009315	-3.471206552	-10.77504763	-20.72326584	-2.61974526	-2.67612661	-11.6889574	-10.98149824	-3.182765207	-3.105645694	-9.274019998	-8.333879544	-3.226662109	-3.112210046	-11.9379981	-12.28059501	-4.405734457	-4.392629042	-12.56012788	-20.72326584	-2.616674784	-2.537640624	-7.272574008	-8.450012975	-3.408721487	-3.435083982	-12.00576432	-20.72326584	-3.533337834	-3.555331282	-8.75435688	-9.248695931	-3.248371553	-3.31353783	-10.18845412	-12.07203803	-3.808433738	-3.731559966	-8.634440464	-10.8519692	-3.149125883	-20.72326584	-11.80547791	-3.870226766	-13.12354708	-6.567366294	-8.015986179	-3.518383984	-10.24258307	-5.445386242	-9.117927659	-3.839406992	-3.774609471	-11.09937077	-9.635622904	-9.696364121	-8.864933384
Thermoplasmatota	S27C165-Flyer2018	-2.445145802	-2.420649349	-8.446433562	-8.600565942	-2.572067247	-2.59677111	-11.19912275	-20.72326584	-2.417679036	-2.467294243	-11.64820599	-12.947548	-2.547490973	-2.53331496	-10.27360038	-9.333318617	-2.493532171	-2.417127511	-20.72326584	-12.80417219	-3.256946374	-3.251933095	-11.36192663	-20.72326584	-2.712378891	-2.608855788	-8.069467444	-9.19763329	-2.61348332	-2.635126173	-20.72326584	-20.72326584	-2.553087624	-2.550011334	-9.317744419	-9.916948668	-2.593486462	-2.638145302	-10.58295414	-11.04076616	-3.583003975	-3.571078534	-8.445022029	-10.93524722	-2.521979108	-20.72326584	-12.0325587	-2.910813773	-12.0230968	-5.745891704	-8.760839942	-2.634237012	-9.218057875	-3.323982178	-9.566450276	-3.180711535	-3.126624523	-10.4566138	-9.679681181	-10.35322488	-9.288843682
Bacteroidota	S27C1729-Lasker2018	-12.32919316	-11.77842161	-8.15414503	-8.036036675	-9.722643954	-10.23938802	-4.910225774	-5.059209447	-8.599328241	-8.703509637	-1.555672048	-1.645259404	-9.826149545	-9.478011028	-2.596052254	-2.37690203	-10.26840754	-10.74798776	-3.213018314	-2.738770561	-8.762685693	-9.204232066	-1.801069225	-1.646590496	-6.771910826	-6.657834499	-1.157724181	-1.183018321	-11.17947113	-11.34117803	-9.052312447	-8.836707785	-12.58366393	-11.5809234	-9.240812672	-9.781078788	-12.71796427	-13.13548752	-10.41140155	-10.32151767	-11.00967591	-11.16597637	-10.11258183	-9.797477836	-11.66875482	-10.77147691	-10.13617743	-11.2904487	-9.71221975	-10.35238681	-9.439556637	-11.81779638	-9.789884441	-13.42781357	-8.348485129	-11.31690821	-10.71230187	-7.954310175	-7.991264554	-2.746010902	-2.490453843
Proteobacteria	S27C31-Lasker2018	-9.563490749	-9.066365837	-5.321118344	-5.155417483	-9.223063063	-8.902869643	-7.575394453	-7.490395788	-10.63608251	-10.80842992	-4.941757151	-4.88858321	-10.30584581	-10.4173982	-4.29707119	-4.267396154	-10.70054608	-10.14850424	-5.188997241	-4.843088727	-9.5615149	-9.518816211	-3.155510937	-2.967770299	-8.282324884	-8.105471364	-2.709168411	-2.980096138	-7.889218546	-8.050589209	-5.890471599	-6.182362714	-8.458354729	-8.516500931	-6.140031147	-6.013626151	-8.428974048	-8.673516881	-6.094179676	-6.089801122	-6.802539774	-6.441289714	-5.537024911	-5.104370859	-7.842028481	-7.973874744	-7.688256077	-8.651968329	-5.082900388	-6.874270117	-6.657768687	-9.774842479	-6.875638876	-11.27001364	-4.840284097	-7.25542948	-7.280552985	-6.907022148	-6.776801054	-4.613808489	-4.375711815
Bacteroidota	S27C450-Lasker2021	-2.60570206	-2.319669087	-0.605759206	-0.644165985	-1.988084175	-1.890327301	-1.067381096	-1.28206599	-3.297863622	-3.390825734	-2.930287757	-2.973110271	-4.534296617	-4.492692041	0.267685314	0.358455818	-4.656523114	-4.671450062	0.527007174	0.662658076	-6.092666787	-6.72921277	-0.699468758	-0.693620491	-1.003132393	-0.942677904	-0.286955402	-0.396685882	-1.208790186	-1.222139487	-0.440700485	-0.237560857	-1.858077615	-1.882949588	-0.195444486	-0.237509371	-1.984759552	-2.111479141	-0.604297917	-0.733749301	-0.233074234	-0.189827978	-0.45153359	-0.335661844	-1.286110256	-2.262718809	-1.957730012	-1.763020006	-0.410807798	-1.243694706	-0.246703609	-3.395483447	-1.109427156	-6.84258477	-0.47540885	-0.473941933	-0.581227164	-0.217544255	-0.45266922	0.248315581	0.394541732
Thermoplasmatota	S27C644-Lasker2021	-3.610763636	-3.594064706	-9.484795902	-9.581402401	-3.854946081	-3.895027894	-12.14616753	-11.3907242	-4.284623374	-4.325541203	-16.79352718	-12.65799918	-3.687963474	-3.691730916	-20.72326584	-11.83664737	-3.588389693	-3.512299314	-20.72326584	-20.72326584	-4.53507973	-4.563144181	-11.33227046	-12.48752239	-4.407409265	-4.196646228	-9.503307774	-11.16679537	-3.572712123	-3.595734344	-20.72326584	-20.72326584	-3.379713991	-3.359505753	-9.364135582	-10.15421995	-3.426375938	-3.489301417	-10.62781577	-10.83255481	-4.494372693	-4.406241052	-9.224771147	-13.0891264	-3.61254094	-20.72326584	-20.72326584	-3.560908879	-20.72326584	-6.269880879	-8.795510451	-3.254938304	-9.570553855	-2.708160002	-10.13622397	-4.141635938	-4.078627682	-9.836435817	-11.4226704	-11.85703822	-13.0924311
Bacteroidota	S27C670-Lasker2018	-9.076127397	-8.882537319	-3.854204387	-3.690781542	-7.693529897	-7.447469351	-2.785448431	-2.8649678	-9.942107702	-9.588958458	-3.620576266	-3.66041216	-8.84929776	-8.688900618	-2.13802729	-2.024670964	-8.909565042	-8.853322157	-1.875264949	-1.514604751	-8.048381053	-8.580344781	-1.889808439	-1.767967979	-5.832874263	-5.84097441	-1.385267285	-1.334740777	-8.323486855	-8.618720508	-3.799141608	-3.816502348	-9.204869266	-9.314474085	-5.071246258	-5.166729261	-8.352874001	-8.868807533	-6.333671347	-6.376767093	-6.156586485	-5.977418615	-5.898765883	-5.534693838	-8.350683359	-5.70368394	-5.3937127	-8.763502893	-5.693568406	-4.976255998	-4.211466439	-9.975814834	-4.552037844	-9.655681048	-2.80770239	-6.699175588	-5.922508124	-2.701776457	-2.826902473	-2.363929457	-2.097902493
Proteobacteria	S27C968-Lasker2018	-9.579266398	-9.741299828	-6.591080074	-6.658638453	-8.447664097	-8.454639044	-6.877562115	-7.539994678	-9.278806061	-8.379428111	-2.246451	-2.194164047	-8.69815695	-8.496085338	-2.246481253	-2.195796902	-8.937321075	-9.478659783	-3.030666717	-2.548977492	-8.010886322	-8.70381016	-1.593653539	-1.498314286	-6.258083663	-5.995156313	-1.398125753	-1.404057308	-8.276958529	-8.107838657	-6.666825092	-7.050487925	-9.256761973	-8.797696692	-6.705900903	-6.606922803	-8.478095851	-8.982447397	-7.964525054	-8.101861749	-6.597579204	-6.626606401	-6.583333501	-6.64324716	-8.28202226	-10.45248199	-10.38709368	-9.224005719	-7.095564264	-9.975707017	-9.053169629	-9.790847855	-8.415691401	-13.26483819	-6.436599064	-7.387901046	-7.634886532	-8.172495449	-8.405923276	-2.034466792	-2.082097859
Proteobacteria	S28C156-Lasker2021	-9.091970397	-8.694592582	-5.092858455	-5.002881195	-8.480136983	-8.308256724	-5.904767023	-5.756907024	-10.7751678	-10.27349585	-8.969209801	-8.824876903	-10.56229916	-10.5942843	-5.922301162	-5.990938765	-10.41854318	-10.13882135	-6.350440078	-6.031201173	-11.45151052	-11.32002284	-6.971932799	-6.830532976	-7.468923947	-7.322841876	-5.961339032	-6.004060747	-7.120642111	-7.13870182	-5.014973189	-5.568363628	-7.959271409	-7.795099896	-4.342350564	-4.264585489	-6.948947134	-7.194262975	-4.907953578	-4.962855354	-4.642704466	-4.481557244	-4.118506546	-4.176074232	-6.899964903	-7.373077149	-7.148289805	-7.092748522	-4.518663094	-6.418161851	-6.059480039	-9.449503809	-5.70521514	-10.06125286	-4.207465311	-5.573863933	-5.487250814	-5.550419782	-5.602406231	-6.221337389	-6.070853962
Thermoplasmatota	S28C165-Flyer2018	-2.47906567	-2.446519657	-8.494706669	-8.801423495	-2.614883804	-2.647719444	-12.18194845	-20.72326584	-2.44400672	-2.502347489	-12.27776388	-12.96338875	-2.602014145	-2.575086484	-10.51864474	-9.19777643	-2.544513773	-2.456532848	-11.60333547	-12.22172653	-3.308416006	-3.277717245	-13.48911167	-13.26851163	-2.739382351	-2.657378651	-8.075723016	-9.691291386	-2.653490271	-2.644577906	-20.72326584	-20.72326584	-2.592427217	-2.583345496	-9.370827062	-9.735373411	-2.619635683	-2.670400129	-10.00285385	-12.99450443	-3.620362931	-3.60575883	-8.49196521	-10.95920663	-2.573338586	-20.72326584	-13.22332591	-2.953100538	-11.74238932	-5.751617063	-8.366348413	-2.654258409	-10.02828311	-3.349272222	-9.930221193	-3.205524872	-3.158137139	-9.595613223	-10.21924652	-10.67552462	-9.325096444
Proteobacteria	S28C271-Lasker2021	-6.057886441	-5.734059977	-1.781904266	-1.599062865	-5.365685979	-5.379128586	-5.185097562	-5.705272224	-8.461660381	-8.22881992	-3.318442574	-3.205102415	-8.095514962	-8.016714311	-3.8012683	-3.74054406	-8.368553167	-8.142274442	-5.320535573	-4.781613255	-9.001629756	-9.942981055	-3.652886406	-3.609132076	-4.314002595	-4.202024432	-4.09229207	-4.133603529	-5.478818661	-5.534409743	-4.288381185	-5.078980732	-6.294774068	-6.139839459	-3.814024307	-3.684390544	-5.991500148	-6.171906336	-6.148960443	-6.510104692	-3.897442815	-3.757238983	-3.178789429	-3.722232701	-5.429411435	-8.240856232	-8.332323301	-6.016851855	-3.803524224	-7.324278261	-6.497704435	-7.402749287	-5.50582586	-9.476613591	-3.137297658	-4.474892293	-4.505186218	-6.137154447	-6.185153768	-3.515370716	-3.686802932
Proteobacteria	S28C294-Lasker2021	-6.661890227	-6.498448426	-2.044881434	-1.878159209	-5.949242305	-5.93283295	-6.517890154	-7.005694446	-8.934056513	-9.176277263	-4.177885923	-4.027760453	-9.278664224	-9.169387314	-4.08255614	-4.029438671	-9.079898422	-9.08788905	-5.50810587	-4.958378859	-9.706896376	-10.23247868	-4.080186187	-3.996421816	-5.27896282	-5.190553852	-4.367558524	-4.380113186	-6.587547669	-6.605436917	-3.993645456	-4.792108263	-7.309602141	-7.191417522	-4.115138281	-4.075469188	-6.955161926	-7.38625054	-7.16036742	-7.370996131	-4.406536646	-4.323609209	-4.457905331	-5.067043119	-6.801519007	-8.0739313	-7.766368787	-7.504023801	-5.149327007	-6.488279316	-5.807106831	-8.236484111	-4.940588602	-9.732861742	-3.270129225	-5.637826771	-5.263872366	-5.397900603	-5.516999634	-3.813735127	-3.95310644
None	S28C347-Lasker2021	-7.961702012	-7.63208921	-7.690740081	-7.835408647	-8.068720224	-7.871629432	-10.25035483	-10.60309894	-12.58750031	-13.01843679	-14.5604314	-13.63731274	-11.42241506	-10.30894586	-7.663032619	-7.707087648	-10.6891569	-10.80471648	-10.01740643	-9.371611668	-11.50097713	-12.57097673	-8.754577792	-8.726699529	-4.291255176	-4.255811974	-5.899619528	-5.854353315	-8.244243725	-8.276588183	-9.321441221	-10.27812387	-9.014955464	-9.278755196	-7.3363423	-7.362394823	-8.764124632	-9.096397732	-7.855897863	-7.748315819	-6.130790065	-5.907063878	-6.793403367	-7.41855047	-8.632040734	-9.988672831	-10.13644907	-9.862418453	-8.3490151	-8.381950008	-7.856328658	-10.60985672	-8.941652681	-9.60482652	-4.760703279	-8.119636036	-7.887756422	-9.930911125	-9.830819379	-7.813457023	-7.555106106
Proteobacteria	S29C156-Lasker2021	-8.85008081	-8.876919357	-5.069737897	-4.947842173	-8.24390915	-8.297913495	-5.563288287	-5.522355318	-10.3291429	-10.47799521	-9.336403153	-9.292893194	-10.57918271	-9.931090225	-5.841199968	-5.809185091	-9.813770531	-9.964726265	-6.287929073	-5.79120861	-11.88067811	-11.9553286	-6.737711284	-6.567212054	-7.41514282	-7.259932069	-5.830259823	-5.885736351	-7.139375355	-7.099682979	-4.921355991	-5.442358652	-7.896814842	-7.6819198	-4.352763488	-4.301513318	-7.089319722	-7.316559506	-4.885170373	-4.890719202	-4.746523058	-4.540552231	-4.183742494	-4.180170722	-6.941622452	-7.364548314	-6.996532287	-7.102532243	-4.503760284	-6.230627984	-5.82224363	-9.068553177	-5.541593398	-10.19584775	-4.189468979	-5.658445638	-5.532418736	-5.254251717	-5.357350537	-6.124274006	-5.868098441
Thermoplasmatota	S29C165-Flyer2018	-2.527686297	-2.500629883	-8.140086166	-8.296733398	-2.66937544	-2.689014618	-12.32823327	-20.72326584	-2.504214847	-2.566917933	-11.59502768	-10.25185921	-2.666893224	-2.62467951	-9.98058914	-9.330362964	-2.583350726	-2.486761918	-20.72326584	-11.16147947	-3.34593901	-3.335271196	-9.150484987	-9.555813011	-2.782836476	-2.685597104	-7.973873669	-9.427980843	-2.6775588	-2.681169433	-11.33403303	-20.72326584	-2.629340814	-2.60415501	-9.56605335	-9.51682912	-2.661779995	-2.71819592	-9.909346442	-12.66943088	-3.657049447	-3.650783989	-8.307461052	-10.40070039	-2.612140914	-20.72326584	-11.70987887	-2.997247401	-11.41220802	-5.764422365	-8.47511517	-2.7031831	-9.422366155	-3.352536626	-9.868014237	-3.242479436	-3.189563873	-10.18736163	-10.21628711	-10.72321521	-9.457430684
Proteobacteria	S29C168-Lasker2018	-5.773545435	-5.532994474	-8.018583216	-8.284141805	-5.041214102	-5.026062484	-9.121789027	-8.612473737	-4.920120768	-5.125419944	-10.75854114	-11.29559807	-6.370486069	-6.363705153	-9.476070677	-9.311087059	-6.39683316	-6.332922544	-11.69791738	-11.15362179	-8.500851546	-8.337371924	-12.45974025	-11.71730958	-4.281270366	-4.228944411	-8.266504047	-8.879399333	-3.573550592	-3.827677813	-8.455537666	-8.562755152	-4.132682332	-4.097332622	-6.070940445	-6.04758518	-4.938225706	-5.035142	-5.252090389	-5.209348468	-4.650451902	-4.541965366	-5.493954949	-5.442064188	-4.728996426	-9.451832483	-9.438158583	-4.569093931	-5.719322518	-5.788729145	-6.208342518	-5.233930344	-6.84996894	-8.643327496	-7.302248029	-3.850248081	-4.000156757	-6.208534828	-6.37527451	-10.14006975	-9.334053833
Proteobacteria	S29C225-Lasker2018	-5.416602468	-5.221131851	-7.439148473	-7.557746136	-2.668905534	-2.641914193	-6.927370914	-6.750481225	-4.709562615	-4.894474774	-6.790281802	-6.647950518	-4.841318813	-4.779382036	-5.366776738	-5.340625966	-4.700198266	-4.650459436	-5.823084895	-5.363245937	-6.305786053	-6.226053548	-6.027084015	-5.939905268	-4.647962036	-4.559924104	-5.563432531	-5.64305256	-2.986115384	-3.312354213	-7.181869229	-7.681832728	-3.376978696	-3.384609829	-5.732290906	-5.891925177	-3.671845086	-3.686337528	-4.912724816	-4.936552558	-3.881548264	-3.72962141	-5.847694301	-6.149670157	-3.491365127	-9.157032618	-9.31637745	-3.128081257	-5.945131647	-4.567052389	-5.718659775	-4.129225055	-5.892868789	-4.611007088	-7.237909081	-2.638459854	-2.875852699	-4.516856424	-4.664783469	-5.412028429	-5.258451727
Proteobacteria	S29C294-Lasker2021	-7.134864935	-6.922032921	-2.480897963	-2.318761824	-6.433978589	-6.33550761	-6.917846626	-7.398044068	-9.423848865	-9.485555678	-4.624723818	-4.504535118	-9.383564159	-9.260444416	-4.512997651	-4.412746495	-9.519563189	-9.567286781	-6.051404463	-5.418321692	-10.52760215	-10.08104048	-4.501635737	-4.457966955	-5.766828223	-5.648715991	-4.79022696	-4.83442701	-7.07147752	-7.040165928	-4.451578748	-5.274631055	-7.798934852	-7.527076513	-4.604853336	-4.518001971	-7.428471723	-7.76656987	-7.677540164	-7.837637458	-4.823837396	-4.743953288	-4.887994145	-5.53862549	-7.190855199	-8.728242301	-8.314848443	-7.768891854	-5.605037247	-6.963240241	-6.384947351	-8.528153942	-5.437161131	-9.648865799	-3.700922157	-6.118414218	-5.736372198	-5.887418203	-6.016668433	-4.270359758	-4.424015476
Proteobacteria	S29C374-Lasker2021	-3.56022914	-3.481747113	-3.297072232	-3.428272702	-1.171595967	-1.168852567	-3.970531265	-4.083332696	-2.600852715	-2.73597903	-5.059375902	-4.90083556	-2.97454443	-2.968504069	-1.853080573	-1.769014756	-3.07080047	-2.976665623	-2.763404134	-2.121749298	-5.051000768	-5.000785043	-3.155203124	-3.105310315	-1.058838187	-0.937305144	-2.323786084	-2.37724613	-1.603556686	-1.582907375	-1.574104307	-2.193472417	-1.750463482	-1.675256447	-1.288935623	-1.270633501	-2.11458576	-2.170801143	-2.058298237	-2.173376459	-1.105493708	-1.029913674	-1.644309567	-1.90140903	-1.63100246	-4.017995041	-3.695438759	-1.794645704	-2.149530491	-2.362283283	-2.323696366	-2.446873553	-2.390867638	-2.550558353	-1.545040412	-1.355157771	-1.349596439	-2.065171043	-2.359374929	-1.605028145	-1.674379443
Verrucomicrobiota	S2C1127-Flyer2018	-4.220805195	-4.236258591	-11.09236467	-13.48022474	-4.776973019	-4.752279862	-9.454938485	-9.293611878	-4.024181743	-3.910615047	-14.55811854	-13.477501	-3.968603886	-3.956253876	-12.45081784	-11.58605126	-3.70050934	-3.651984328	-10.97908121	-11.21885206	-4.035446852	-3.732398792	-12.89596114	-13.00589294	-5.845922265	-5.822336983	-9.974444344	-11.63695687	-3.964910623	-4.014822858	-12.4556668	-12.83361375	-3.680268832	-3.763539597	-10.16921585	-10.19737926	-4.128903399	-4.141622476	-7.715775229	-7.818138395	-6.344507239	-6.218643279	-10.17928675	-11.36250186	-4.573194695	-12.10170867	-13.37849627	-4.303254716	-12.04868395	-3.315549431	-8.13178308	-3.529371425	-7.821866463	-3.438410863	-12.46825291	-4.978676922	-4.977756867	-6.963169051	-7.013059463	-12.53034335	-11.44970525
Bacteroidota	S2C142-Lasker2021	-9.973918107	-9.473412177	-6.477350824	-6.850710327	-8.643353928	-8.534663462	-5.105528616	-5.458629791	-13.37874228	-10.61209125	-8.694483387	-9.101724022	-12.9724491	-13.10381055	-7.25868476	-7.182651796	-11.93555296	-12.64845214	-7.981366125	-7.42512418	-12.72167452	-20.72326584	-8.573178264	-8.418309495	-8.037642159	-7.667100661	-7.620471347	-7.699805934	-5.07693777	-5.08550453	-3.689251403	-4.459185644	-5.812245431	-5.697510385	-3.331829792	-3.343934612	-6.131533607	-6.117208512	-4.350970236	-4.363187609	-3.573136115	-3.420011064	-4.337343942	-4.761971843	-5.770919441	-7.011728868	-6.392797225	-6.153285367	-4.72233184	-5.693567634	-5.042256465	-8.658229648	-3.912303495	-11.87950928	-4.373788501	-4.64327899	-4.337260786	-3.527671768	-3.603638968	-7.19361468	-7.13462933
Proteobacteria	S2C156-Lasker2021	-9.727553855	-9.834285498	-6.278957304	-6.195714364	-9.478719027	-9.205863309	-7.387257364	-7.324111986	-12.150042	-11.22838297	-9.592171818	-9.398663068	-11.32520082	-20.72326584	-7.234674172	-7.232268016	-12.6277161	-11.22795722	-7.977699152	-7.654988492	-13.60128449	-13.91335013	-8.134832616	-8.001032415	-8.077499618	-8.000681345	-7.184749128	-7.242732753	-8.44490453	-8.464499703	-6.298186683	-6.935825898	-9.001110772	-8.69853319	-5.086861855	-4.984191752	-8.152574245	-8.453226537	-5.703709677	-5.759265608	-5.477128867	-5.302344063	-4.803291667	-5.007468708	-8.274724892	-9.379088616	-9.279722498	-8.266141131	-5.251639985	-7.664602292	-7.491548879	-10.17989444	-6.652223921	-10.98120986	-5.276725361	-6.707589465	-6.472715188	-6.452431752	-6.457431216	-7.184958395	-7.006119327
Proteobacteria	S2C166-Lasker2021	-8.017717414	-8.953646771	-6.119765755	-6.124520624	-7.172513261	-7.08168785	-5.724483571	-5.503856415	-10.31051278	-9.51911725	-10.05500533	-10.30252356	-10.53795134	-10.2036249	-6.560212406	-6.53978839	-10.4168549	-10.12190006	-7.69444998	-7.168997895	-10.03129513	-12.70256252	-7.623081752	-7.59713648	-6.248616121	-6.105152977	-6.513056184	-6.617629046	-6.90189737	-6.845445865	-3.843695048	-4.415093611	-7.706558063	-7.075795706	-3.034244521	-3.000246427	-6.899851496	-7.129341419	-3.996094037	-4.069724147	-3.497124268	-3.312990617	-3.094919815	-3.339821579	-6.71075794	-6.96426559	-6.600261535	-7.499962882	-3.266901228	-5.67959272	-5.009832466	-8.949803314	-4.64726184	-9.239499754	-3.820365808	-6.094459951	-5.639445899	-4.646764354	-4.868553961	-6.226127189	-6.332792377
Bacteroidota	S2C18607-Flyer2018	-4.445172121	-4.334126466	-10.67109094	-12.2343517	-2.952985074	-2.871789245	-8.694666978	-8.775694656	-3.796448763	-3.866891431	-12.21511654	-20.72326584	-3.290408455	-3.278028847	-10.02297359	-9.720445922	-3.011949586	-2.979072069	-10.87672532	-10.45367086	-3.530141586	-3.352848143	-9.473698745	-9.808728907	-3.628717772	-3.626365418	-8.358821917	-9.04576294	-2.456036656	-2.498139122	-10.27588624	-10.07463513	-2.343658088	-2.376130443	-9.377137262	-9.154579361	-3.134368008	-3.12388149	-7.21142211	-7.524046239	-4.421590754	-4.467035044	-9.50573585	-10.15336214	-3.301798409	-20.72326584	-10.61803285	-2.859790209	-10.57296461	-3.711819496	-7.333218738	-3.369337879	-7.92048252	-3.968614415	-11.52985557	-2.905710434	-3.025351401	-6.322935511	-6.254336368	-10.0791894	-9.551433629
None	S2C2497-Flyer2018	-6.342658709	-6.124820595	-20.72326584	-13.5344146	-3.689632257	-3.717971844	-11.03140726	-10.5759128	-7.714058616	-7.845354253	-20.72326584	-12.98806507	-5.393245379	-5.305365265	-20.72326584	-11.91901006	-5.181771184	-5.086405875	-20.72326584	-20.72326584	-7.40501336	-7.379753696	-13.78304966	-20.72326584	-5.877515661	-5.789144206	-11.458362	-11.56345347	-2.903104707	-2.945079369	-12.11876562	-20.72326584	-3.037019355	-2.935373193	-8.769461596	-9.211408142	-3.767717098	-3.860268857	-7.658644863	-7.724064124	-4.125491326	-4.042313598	-8.173762507	-9.127185589	-2.979706948	-20.72326584	-12.07531056	-3.387955227	-9.577701929	-6.717704007	-8.008184918	-4.441150805	-8.260013381	-4.278846198	-12.40312773	-3.050558348	-3.218288722	-7.490060435	-7.466833386	-14.99528528	-12.81381006
Proteobacteria	S2C271-Lasker2021	-6.002431101	-5.744875131	-1.74591959	-1.562556612	-5.35798351	-5.314809152	-5.204255329	-5.717070288	-8.283204423	-8.365973402	-3.274553295	-3.172135952	-8.147834132	-8.103187756	-3.823754194	-3.730324726	-8.229503006	-8.331706067	-5.284819672	-4.804872822	-9.226729849	-10.18524147	-3.662455931	-3.595922477	-4.32765088	-4.215669636	-4.109764074	-4.146452441	-5.48582933	-5.462506631	-4.26902386	-5.056379791	-6.236680256	-6.16419877	-3.718671503	-3.607633237	-5.828755294	-6.038676288	-6.217028024	-6.350841309	-3.797290663	-3.728678555	-3.091153944	-3.669851166	-5.342876021	-8.422606637	-7.966501851	-6.033902012	-3.734849301	-7.092778723	-6.439703366	-7.322857324	-5.498519447	-9.662710313	-3.069698283	-4.383038466	-4.433557515	-6.058934079	-6.248277556	-3.549023847	-3.673096345
Myxococcota	S2C284-Flyer2018	-7.186724618	-7.020428915	-13.1790223	-12.22365703	-3.174794659	-3.226780711	-10.64128362	-10.99349491	-6.071795813	-5.943543332	-12.52950228	-11.56248763	-4.539712931	-4.540576416	-11.60442	-11.52562314	-4.331288578	-4.199319619	-12.18313592	-11.80018283	-4.854286632	-4.737036908	-11.39137142	-12.72515412	-7.229835716	-7.079894369	-12.92763276	-15.29470091	-3.797794056	-3.826121953	-11.36427704	-12.70067675	-3.835600396	-3.835292871	-11.85592633	-11.07041509	-4.772865194	-4.784155355	-10.41025987	-10.70162887	-6.616427685	-6.806168294	-10.05746294	-11.42854424	-5.2461477	-12.2656146	-14.4621535	-3.941147177	-11.01857251	-6.225847373	-12.29018004	-4.556347451	-10.0398992	-6.034074932	-11.42135678	-3.906161518	-4.17085248	-9.763383234	-9.777344008	-12.09726326	-10.78187873
