		1903buk1_0m-2	1903buk2_0m-1	1903buk2_0m-2	1903buk3_0m-1	1903buk3_0m-2	1903buk4_0m-1	1903buk4_0m-2	1903_buk5-1	1903_buk5-2	1903_buk6-1	1903_buk6-2	1903c111_100m-1	1903c111_100m-2	1903c111_100m-3	1903c111_10m-1	1903c111_10m-2	1903c111_5m-1	1903c111_5m	1903c114_100m-1	1903c114_100m-2	1903c114_100m-3	1903c114_10m-1	1903c114_10m-2	1903c114_5m-1	1903c114_5m-2	1903c117_100m-1	1903c117_100m-2	1903c117_100m-3	1903c117_50m-1	1903c117_50m-2	1903c117_5m-1	1903c117_5m-2	1903c118_100m-1	1903c118_100m-2	1903c118_100m-3	1903c118_23m-1	1903c118_23m-2	1903c118_5m-1	1903c118_5m-2	1903c119_100m-1	1903c119_100m-2	1903c119_100m-3	1903c119_11m-1	1903c119_11m-2	1903c119_5m-2	1903c122_100m-1	1903c122_100m-2	1903c122_100m-3	1903c122_28m-1	1903c122_28m-2	1903c122_5m-1	1903c122_5m-2	1903c123_10m-1	1903c123_10m-2	1903c123_5m-1	1903c123_5m-2	1903c123_70m-1	1903c123_70m-2	1903c123_70m-3	1903c124_100m-2	1903c124_100m-3	1903c124_15m-1	1903c124_15m-2	1903c124_5m-1	1903c124_5m-2	1903c126_100m-1	1903c126_100m-2	1903c126_100m-3	1903c126_45m-1	1903c126_45m-2	1903c126_5m-1	1903c126_5m-2	1903c127_100m-1	1903c127_100m-2	1903c127_100m-3	1903c127_5m-1	1903c127_5m-2	1903c127_7m-1	1903c127_7m-2	1903c129_100m-1	1903c129_100m-2	1903c129_100m-3	1903c129_26m-1	1903c129_26m-2	1903c129_5m-1	1903c129_5m-2	1903c134_12m-1	1903c144_13m-1	1903c144_13m-2	1903c144_5m-1	1903c144_5m-2	1903c144_60m-1	1903c144_60m-2	1903c144_60m-3	Las19c107_10m-1	Las19c107_10m-2	Las19c107_5m-1	Las19c107_5m-2	Las19c107_75m-1	Las19c107_75m-2	Las19c107_75m-3	Las19c135_13m-1	Las19c135_13m-3	Las19c135_5m-1	Las19c135_5m-2	Las19c135_70m-1	Las19c135_70m-2	Las19c135_70m-3	Las19c138_100m-1	Las19c138_100m-2	Las19c138_12m-1
Proteobacteria	S48C148-Lasker2021	-0.377838753	-0.617984346	-1.070277047	-1.005109238	-20.72326584	0.610794988	0.226381504	-20.72326584	-20.72326584	-0.405989744	-0.56557629	-4.229299848	-4.382812623	-4.224867069	-1.147587175	-1.035887293	-1.374387723	-1.311694546	-20.72326584	-20.72326584	-4.64485231	-0.50069049	-0.436222915	-20.72326584	-0.243091698	-20.72326584	-20.72326584	-20.72326584	-0.867022656	-0.821888007	-1.195046096	-1.034794265	-2.982788507	-2.873906629	-2.791310714	-1.693680267	-1.693636154	-1.580379085	-1.471706722	-20.72326584	-20.72326584	0.055768049	0.230417036	0.432284174	0.436134427	-20.72326584	-20.72326584	-20.72326584	-1.348689564	-0.534510508	-3.042778117	-3.401205792	-0.685076355	-0.776049772	-0.802426518	-0.657124921	-1.036603079	-1.067112979	-1.100132441	-2.965095586	-2.829550194	-0.460000071	-0.502184068	0.034045519	0.145159524	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.207854409	-3.743352578	-20.72326584	-20.72326584	-20.72326584	0.17550731	-0.040888558	-0.917544014	-0.850117296	-20.72326584	-20.72326584	-20.72326584	-1.721942716	-1.449351906	0.332618751	0.425163417	-3.253298003	-0.340012759	-1.135656643	-0.463216949	-0.522807873	-20.72326584	-20.72326584	-4.712056421	-0.899059248	-0.359696073	-1.114350646	-0.828630944	-3.632153925	-3.26818002	-3.739228899	-0.082022684	-0.885165679	-0.243076013	-0.587997205	-3.829350758	-3.520638296	-3.612754132	-20.72326584	-20.72326584	-1.25036598
Proteobacteria	S48C1503-Flyer2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Proteobacteria	S48C156-Lasker2021	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.514898496	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.523761688	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.08518389	-3.675108747	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.014390782	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Proteobacteria	S48C2109-Flyer2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Marinisomatota	S48C305-Lasker2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.058478952	-3.055045049	-2.99736118	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.416345444	-2.872237846	-2.973307342	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.496542651	-3.049339633	-3.287645659	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.917425953	-2.794729568	-3.048937268	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.859234243	-2.979630447	-2.900571978	-20.72326584	-20.72326584	-20.72326584	-3.202250421	-2.012270706	-3.041113583	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.003753215	-2.799050208	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.407877711	-3.85168393	-3.312731635	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.384250719	-1.409606137	-2.62462707	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.695153556	-2.968970467	-3.089421234	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.97254686	-1.87500519	-2.03729012	-20.72326584	-20.72326584	-20.72326584	-3.791386489	-2.322043679	-3.310287113	-2.461473784	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.802301374	-2.031946532	-2.02102592	-1.813751485	-1.734718913	-20.72326584
Proteobacteria	S48C4740-Flyer2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Actinobacteriota	S48C755-Lasker2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.463752689	-2.319295263	-2.198339039	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.309318945	-2.326443648	-2.256251553	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.294277289	-2.107750312	-2.29106454	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.636497774	-2.598070855	-2.481836037	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.525327962	-2.492752254	-3.332753033	-20.72326584	-20.72326584	-20.72326584	-2.180028358	-2.391188125	-2.052761201	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.897793773	-4.139944955	-4.145001322	-2.50784316	-2.417937282	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.562345677	-2.217962817	-2.254593143	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.162601514	-2.607303368	-2.147208899	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.309041481	-2.257766127	-2.209475323	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.054893577	-3.193024445	-3.323534476	-20.72326584	-20.72326584	-20.72326584	-4.132043003	-2.691482197	-2.382558809	-2.756804023	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.427615056	-2.919394927	-2.981700087	-2.394790221	-2.42201342	-20.72326584
Proteobacteria	S49C1130-Lasker2018	-20.72326584	-20.72326584	-2.689877858	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.48838504	-2.97116322	-20.72326584	-20.72326584	-20.72326584	-2.295019375	-2.139471917	-2.374955408	-2.138706432	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.116330937	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.501103046	-2.427770825	-2.858619088	-20.72326584	-4.480945984	-4.483133897	-4.391475212	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.834518958	-1.823941391	-1.490101635	-1.580477051	-20.72326584	-20.72326584	-20.72326584	-2.216473628	-1.388149557	-20.72326584	-4.525713281	-1.651958375	-1.748016989	-1.827101438	-1.65699435	-2.133031568	-2.22178042	-2.26519046	-4.184689741	-4.073508704	-1.727757586	-2.030226241	-1.566063813	-1.499878236	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.726810614	-20.72326584	-20.72326584	-20.72326584	-1.693683258	-1.86978332	-2.704210916	-2.706580017	-20.72326584	-20.72326584	-20.72326584	-2.894501275	-2.489483013	-1.573472342	-1.098796003	-20.72326584	-2.283185969	-3.11147007	-2.254376231	-2.235275692	-20.72326584	-20.72326584	-20.72326584	-2.559366726	-2.045459132	-2.759225276	-2.515545655	-4.952137261	-20.72326584	-20.72326584	-2.627250551	-20.72326584	-2.447136931	-2.731271808	-5.091882064	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.242814815
Proteobacteria	S49C156-Lasker2021	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.638983466	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.563605587	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.121531192	-3.730663119	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.024368358	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Planctomycetota	S49C345-Lasker2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.646461895	-3.405747508	-4.268278252	-4.62711768	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.519960114	-20.72326584	-3.525959123	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.465523989	-4.460985603	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.451079051	-4.061246826	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.683365322	-20.72326584	-20.72326584	-4.329253556	-4.288499935	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.834043873	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.208791645	-3.06602833	-2.786648848	-2.952072811	-3.410175384	-3.491783544	-3.542966555	-20.72326584	-20.72326584	-20.72326584	-4.69196675	-4.795844611	-20.72326584	-20.72326584	-3.525684857	-20.72326584	-20.72326584	-20.72326584	-3.192615223	-3.056547155	-3.09942254	-20.72326584	-20.72326584	-2.9436229
Proteobacteria	S49C36-Lasker2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.147513847	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.141105155	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.609877548	-20.72326584	-20.72326584	-4.652439902	-4.829093666	-4.740264285	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.154486491	-4.260848551	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.913955572	-4.063170948	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.047041503	-3.733716247	-3.585885452	-3.151637522	-20.72326584	-20.72326584	-4.320305428	-3.474636968	-3.452494423	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-5.123336571	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.793064602	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Bacteroidota	S49C398-Lasker2018	-20.72326584	-20.72326584	-1.674461239	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.288359625	-1.29099065	-20.72326584	-20.72326584	-20.72326584	-2.082063769	-2.714378971	-1.728613975	-2.137688091	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.36976331	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.542375421	-20.72326584	-2.90863687	-2.373985653	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.97864628	-1.690413283	-1.930674693	-1.895895994	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.457683254	-2.708376889	-20.72326584	-20.72326584	-2.794359254	-2.44624335	-2.43574957	-20.72326584	-20.72326584	-20.72326584	-4.259534172	-20.72326584	-20.72326584	-4.455009197	-20.72326584	-20.72326584	-20.72326584	-1.834995682	-20.72326584	-1.959494726	-1.92041433	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.279007785
Bacteroidota	S49C807-Lasker2021	-20.72326584	-20.72326584	-1.733480857	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.69004201	-1.146191937	-0.818154093	-20.72326584	-20.72326584	-20.72326584	-2.894654739	-3.791090047	-2.417909966	-3.173480679	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.653786885	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.833048686	-3.417524923	-3.497315705	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.061882268	-20.72326584	-20.72326584	-4.318276024	-20.72326584	-2.834858655	-20.72326584	-20.72326584	-2.808125525	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.162370309	-3.627898265	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.072104074	-20.72326584	-3.849763063	-20.72326584	-3.448336443	-2.995646457	-2.243965294	-2.248886793	-20.72326584	-20.72326584	-20.72326584	-2.304958096	-20.72326584	-2.846087088	-20.72326584	-1.979412253	-1.937462088	-0.655037602	-0.943923908	-0.868493916	-20.72326584	-3.579114648	-3.364141886	-2.401795438	-3.928436066	-2.123728524	-2.636221321	-3.907969333	-20.72326584	-3.880161081	-2.735320052	-20.72326584	-2.494244549	-1.771331737	-2.867111855	-3.744366372	-3.61216185	-20.72326584	-20.72326584	-0.607919842
Bacteroidota	S4C106-Lasker2018	-20.72326584	-20.72326584	-2.90801404	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.472504029	-2.693341319	-20.72326584	-20.72326584	-20.72326584	-2.378485452	-2.533825826	-2.281749264	-2.333169391	-20.72326584	-20.72326584	-20.72326584	-1.998227328	-2.016936554	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.887005931	-3.003862273	-3.374276707	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.457845056	-2.487196497	-2.306621418	-2.263677256	-20.72326584	-20.72326584	-2.608215396	-2.496164247	-2.206057409	-2.131803525	-20.72326584	-20.72326584	-20.72326584	-3.103415618	-3.011551724	-3.620061515	-3.392853063	-2.468245646	-2.610023564	-2.562522162	-2.581411731	-2.759174283	-1.969031533	-2.014772622	-4.91245297	-4.649864564	-2.158399895	-2.373842874	-2.114365539	-1.965309458	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.646772756	-3.556577232	-20.72326584	-20.72326584	-20.72326584	-2.296203688	-2.261911772	-3.149502852	-3.212179644	-20.72326584	-20.72326584	-20.72326584	-3.69706563	-4.236818333	-2.32653009	-2.6518158	-20.72326584	-2.806460906	-3.373378296	-3.001155814	-2.974703242	-20.72326584	-20.72326584	-20.72326584	-2.101596104	-2.085797723	-2.41717988	-2.143884656	-5.287882994	-20.72326584	-20.72326584	-3.790561588	-20.72326584	-3.425452155	-3.701172464	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.317213751
Bacteroidota	S4C1179-Lasker2018	-20.72326584	-20.72326584	-2.359516663	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.415539133	-2.520623311	-1.972696546	-1.688978262	-20.72326584	-20.72326584	-20.72326584	-2.496706139	-3.346466754	-2.116122165	-2.922914563	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.736152945	-3.281868848	-2.957945453	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.206916423	-1.943285809	-2.070178726	-2.021422469	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-2.332548125	-20.72326584	-3.306309546	-1.673931363	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-4.045612114	-3.53520953	-20.72326584	-20.72326584	-3.430591456	-3.671369767	-4.234603402	-3.635993916	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.076471919	-1.848540186	-20.72326584	-20.72326584	-20.72326584	-3.288919203	-2.869462561	-2.846514173	-2.717091788	-20.72326584	-20.72326584	-20.72326584	-2.00819762	-20.72326584	-2.326007765	-4.149295083	-2.650512027	-20.72326584	-2.374316557	-2.50544585	-2.475944677	-20.72326584	-20.72326584	-20.72326584	-2.122160776	-3.15834276	-1.995729039	-2.38460653	-20.72326584	-20.72326584	-20.72326584	-2.999789473	-20.72326584	-2.890551496	-2.725044423	-4.92779656	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.463528336
Bacteroidota	S4C1183-Lasker2018	-20.72326584	-20.72326584	-2.193566567	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.41067997	-3.488771484	-1.304823759	-1.262608882	-20.72326584	-20.72326584	-20.72326584	-2.135714955	-2.439175732	-1.971637367	-2.27463612	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.696437101	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.642233243	-1.707719372	-1.555269328	-1.525434408	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.976277549	-2.507095365	-3.048698862	-2.620015547	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-3.420258893	-3.064497807	-20.72326584	-20.72326584	-20.72326584	-2.973984891	-3.10923628	-2.890737577	-2.633058389	-20.72326584	-20.72326584	-20.72326584	-0.560047992	-0.471956461	-1.41537398	-1.35359641	-20.72326584	-20.72326584	-20.72326584	-1.787166865	-2.78813382	-0.393549915	-1.191752573	-20.72326584	-20.72326584	-3.467926717	-2.838994526	-2.921044611	-20.72326584	-20.72326584	-20.72326584	-3.894965958	-20.72326584	-4.150659391	-3.980178139	-20.72326584	-20.72326584	-20.72326584	-2.632663635	-20.72326584	-1.658788879	-2.053293824	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-1.653559976
