		RL2103c001_100m-2	RL2103c001_48m-1	RL2103c001_5m-1	RL2103c002_100m-1	RL2103c002_48m-3	RL2103c002_5m-1	RL2103c009_20m-1	RL2103c009_40m-1	RL2103c009_5m-3	RL2103c010_25m-3	RL2103c010_50m-2	RL2103c010_5m-1	RL2103c014_25m-3	RL2103c014_55m-2	RL2103c014_5m-1	RL2103c015_30m-2	RL2103c015_5m-1	RL2103c015_80m-3	RL2103c019_100m-1	RL2103c019_44m-2	RL2103c019_5m-2	RL2103c023_5m-2	RL2103c023_60m-1	RL2103c024_100m-2	RL2103c024_40m-1	RL2103c024_5m-1	RL2103c025_100m-2	RL2103c025_40m-2	RL2103c025_5m-1	RL2103c032_5m-3	RL2103c032_66m-3	RL2103c032_80m-1	RL2103c033_100m-3	RL2103c033_35m-3	RL2103c033_5m-1	RL2103c034_100m-2	RL2103c034_34m-1	RL2103c044_100m-3	RL2103c044_52m-2	RL2103c044_5m-3	RL2103c045_100m-2	RL2103c045_23m-2	RL2103c045_5m-1	RL2103c046_15m-3	RL2103c046_30m-2	RL2103c046_5m-3	RL2103c049_23m-1	RL2103c049_5m-1	RL2103c049_93m-2	RL2103c050_100m-2	RL2103c050_21m-2	RL2103c050_5m-3	RL2103c067_100m-1	RL2103c067_57m-2	RL2103c067_5m-3	RL2103c068_37m-3	RL2103c068_5m-3	RL2103c071_5m-2	RL2103c071_68m-2	RL2103c072_100m-2	RL2103c072_35m-2	RL2103c072_5m-1	RL2103c074_100m-1	RL2103c074_13m-1	RL2103c074_5m-1	RL2103c077_19m-1	RL2103c077_5m-2	RL2103c077_70m-1	RL2103c078_100m-2	RL2103c078_27m-2	RL2103c078_5m-2	RL2103c081_45m-2	RL2103c081_5m-2	RL2103c088_51m-2	RL2103c088_5m-1	RL2103c089_100m-3	RL2103c089_20m-1	RL2103c089_5m-2	RL2103c090_100m-3	RL2103c090_53m-1	RL2103c090_5m-2
Bacteroidota	S11C4781-Lasker2018	5.32E-07	7.25E-07	8.93E-06	9.71E-06	4.64E-07	2.44E-06	0	1.46E-06	1.07E-06	0	5.31E-07	1.43E-05	0	0	1.17E-06	0	0	4.44E-07	7.63E-07	0	3.67E-06	0	5.87E-07	0	0	0	0	6.79E-07	0	7.26E-07	0	0	6.91E-07	0	4.07E-07	6.93E-06	6.05E-07	0	8.46E-06	5.15E-05	0	0.000132707	0.000116943	2.79E-07	5.05E-07	0	6.52E-05	7.52E-05	2.83E-05	2.61E-05	0.001955412	0.04220356	1.30E-06	6.39E-05	0.000307876	5.72E-05	4.79E-05	3.23E-06	2.20E-06	3.06E-06	2.85E-06	1.62E-05	0	0	1.90E-05	8.50E-07	6.11E-06	0	0	0	8.67E-06	0	5.86E-07	0	0	0	0	0	0	1.06E-06	1.80E-06
Bacteroidota	S11C566-Lasker2018	0.000202885	0.000965391	0.000888229	0.000192793	0.00179616	0.002081023	0.00036555	0.000245574	0.000646537	0.000293071	0.00019584	0.000485697	0.00013623	0.000145537	0.000341673	0.000237796	0.000298905	0.000108028	9.60E-05	0.000127453	0.000328217	0.000372219	6.51E-05	0.00023548	0.000294077	0.000345661	9.80E-05	0.000197914	0.000686947	0.000276815	9.91E-05	7.03E-05	5.04E-05	0.000289335	0.000371532	9.73E-05	0.00019251	0.00022551	0.000754783	0.006335087	0.000254755	0.006829927	0.008442886	0.00034474	0.000495233	0.000434185	0.005000213	0.010743243	0.000277317	0.000110737	0.002165202	0.010458439	0.001010345	0.042895403	0.1313294	0.032369737	0.023399832	0.000939269	0.000504297	9.01E-05	0.00047082	0.000930037	9.56E-05	0.000898364	0.000863928	0.00023331	0.000562469	0.000147203	5.70E-05	0.000751601	0.00227704	0.000236295	0.000419205	0.00030706	0.00030063	0.000239324	0.000382184	0.00051606	2.35E-05	0.000300025	0.000361243
Proteobacteria	S11C57-Lasker2021	0.029675333	0.025859812	0.002474898	0.039951388	0.002078778	0.000464246	0.056090973	0.06785531	0.016616898	0.041854274	0.0974679	0.015232635	0.056946944	0.07420693	0.016671527	0.02212787	0.012528013	0.017952843	0.004882446	0.017172964	0.01831604	0.015196389	0.014783129	0.036320098	0.005484557	0.005150469	0.012767119	0.056243155	0.003176633	0.02294864	0.013758161	0.011287019	0.005750508	0.024316052	0.015690388	0.008827009	0.027199252	0.005019172	0.011943823	0.00148165	0.012479622	0.000254544	0.000204907	0.00296129	0.003493014	0.002178231	0.0028375	0.000152901	0.014149562	0.000902333	8.85E-05	1.91E-06	0.008023149	0.001865213	0.000255086	0.00113974	0.000385169	0.002251221	0.018947314	0.009624769	0.019043047	0.004356568	0.02123406	0.006902467	0.00397248	0.012517262	0.01350993	0.036931146	0.006328676	0.013588452	0.002086004	0.038718365	0.005093227	0.016877105	0.0390758	0.023522073	0.010753198	0.009336523	0.003350194	0.005717002	0.007185119
Bacteroidota	S11C725-Lasker2021	0.06455965	0.001390312	0.000311832	0.063196585	0.000116857	8.03E-05	0.000277324	0.002319726	3.85E-05	0.007623608	0.10596784	0.000159905	0.12163479	0.14040151	0.006159585	0.028769659	0.002219557	0.0878186	0.023457823	0.032901667	0.004956069	0.001873333	0.021792457	0.02698954	0.000548445	0.000304283	0.024473026	0.011172568	0.000313089	0.023983892	0.062665924	0.071596056	0.040795114	0.024626559	0.010855813	0.02249234	0.044209145	0.008430196	0.020941624	0.000113712	0.006469756	6.00E-05	4.68E-05	0.000153956	0.000386098	0.00014607	0.001962611	6.20E-05	0.006366034	0.00186528	0.000247471	3.90E-05	0.008474933	0.000454646	2.72E-05	0.000405818	0.00011368	0.000167466	0.007634668	0.007358865	0.010385864	0.000178803	0.019455701	0.000183061	5.02E-05	0.003117427	0.00013371	0.11241077	0.008727797	0.006523563	0.00015766	0.076366425	3.04E-05	0.00100131	0.00776204	0.012386967	0.000522818	0.00032087	0.004819338	0.002287952	0.002127718
Proteobacteria	S11C901-Lasker2018	7.09E-05	9.82E-05	1.85E-05	0.000138898	2.65E-05	1.54E-05	0.000368855	0.000183787	0.001313303	0.000618945	6.42E-05	0.004293672	3.71E-05	1.98E-05	5.34E-05	1.04E-05	1.09E-05	1.37E-05	1.21E-05	1.62E-05	5.39E-05	9.30E-05	4.18E-05	5.63E-05	1.83E-05	9.38E-05	2.94E-05	5.42E-05	5.58E-05	0.000218213	1.10E-05	2.56E-06	1.64E-05	0.000196843	0.000422394	9.16E-06	7.42E-05	1.02E-05	0.000249793	0.000926869	4.06E-05	0.000628509	0.000778721	2.64E-05	4.27E-05	2.40E-05	0.004969412	0.003870769	0.000190093	5.22E-05	0.007152454	0.041451614	0	0.001243258	0.005746994	0.00179999	0.002572086	0.000124505	9.87E-05	1.44E-05	0.000121278	7.94E-05	4.23E-06	0.000106111	7.27E-05	0.000902958	0.004473747	1.78E-05	1.61E-06	0.000386786	0.000447672	4.31E-05	6.03E-05	6.08E-05	8.87E-05	2.37E-05	1.35E-05	6.07E-06	6.80E-06	2.75E-05	4.35E-05
Proteobacteria	S12C100-Lasker2021	0.04435908	0.15335575	0.07531848	0.051315248	0.1569325	0.081825346	0.14238834	0.06502398	0.35429475	0.12933205	0.010558316	0.33808422	0.024133543	0.023137914	0.3610205	0.16110297	0.37713397	0.009578597	0.00136138	0.02960084	0.208198	0.14583696	0.022974012	0.019061482	0.040430654	0.04525533	0.005704077	0.012928236	0.0256282	0.05842961	0.007606361	0.007757723	0.002553772	0.06146942	0.088040754	0.000113197	0.006805015	9.96E-05	0.000879761	0.002108942	7.12E-05	0.002318191	0.002309603	0.033300277	0.03714138	0.036412194	0.000446264	0.000430324	6.00E-05	4.87E-06	0.000194704	0.000313532	0.000320133	0.006770048	0.006033671	0.007111894	0.007548229	0.018334897	0.021509537	1.65E-05	0.011600119	0.019859646	0.000214597	0.013518328	0.01405024	0.15217127	0.07839381	0.003544736	5.62E-05	0.058626883	0.08088703	0.055150494	0.23691005	0.14227188	0.14147183	0.012762697	0.04055972	0.050360437	6.21E-05	0.038489763	0.054432124
Bacteroidota	S12C1711-Lasker2018	0.028746478	0.062711	0.031974055	0.014946124	0.0768849	0.06082671	0.022631092	0.015927644	0.026561748	0.021586526	0.003809676	0.019814456	0.014976764	0.006107952	0.02521757	0.026453964	0.033109847	0.001608508	0.000458527	0.005498924	0.027997244	0.03689136	0.003508355	0.006095125	0.021809028	0.03273434	0.001509784	0.005434081	0.030705776	0.011584549	0.001401872	0.001241478	0.000432032	0.01454271	0.013148435	2.60E-05	0.009200123	0.000135762	0.001757989	0.018774895	7.76E-05	0.018941669	0.022186564	0.004223666	0.006248224	0.004005343	0.007940526	0.008791245	0.000178033	0.000100368	0.009985616	0.06979365	0.000107407	0.00750832	0.013335708	0.007108112	0.007041134	0.008335881	0.002603903	5.29E-05	0.003507479	0.007060189	0.000195299	0.026760321	0.023441777	0.010680272	0.015912067	0.000444115	6.89E-06	0.013721721	0.021271108	0.018465672	0.04413735	0.048110776	0.03105256	0.011353563	0.017346697	0.019236252	5.59E-06	0.015773503	0.023611018
Proteobacteria	S12C176-Lasker2018	0	0	0	0	0	0	3.39E-06	0	0	0	0	0	0	0	0	0	0	1.54E-06	0	0	0	0	0	0	0	0	0	1.25E-06	8.56E-06	0	0	0	0	0	0	0	0	0	0	2.47E-05	0	5.80E-05	3.15E-05	0	0	0	0.000206102	0.000199792	0	4.53E-06	0.00089324	0.011237867	0	7.08E-05	0.000702383	5.34E-05	0.000124724	0	0	1.24E-06	1.43E-06	1.86E-05	0	8.45E-06	0	0	0	0	0	0	0	0	0	0	1.38E-06	0	0	1.52E-06	0	0	0
Verrucomicrobiota	S12C176-Lasker2021	0.007432958	0.009156311	0.003307783	0.005051188	0.008021921	0.003009653	0.124640726	0.04635703	0.44678485	0.09449874	0.035649803	0.4925403	0.005869075	0.003903554	0.08685445	0.025358904	0.07607701	0.00296534	0.001223672	0.014420658	0.060829736	0.06347883	0.009903258	0.002292934	0.035743687	0.040046807	0.002530243	0.01365551	0.09990217	0.052736167	0.008350077	0.004934259	0.002097556	0.0636166	0.09839549	0.001882479	0.004547085	0.000129027	0.000160606	6.90E-05	0.000302261	0.000188207	0.000197944	0.00628988	0.005362161	0.011826145	2.01E-05	3.75E-06	1.64E-05	4.44E-06	6.27E-06	6.58E-06	9.01E-05	8.85E-07	5.33E-06	1.56E-05	4.14E-05	8.05E-05	0.005001773	0.000351761	0.000750147	0.000304545	0.000185145	0.002899055	0.001604289	0.058718894	0.03364941	0.004793745	0.000522437	0.015701972	0.006525205	0.13649842	0.31147537	0.20803863	0.16210063	0.00174184	0.001472929	0.002699941	0.000700302	0.004197599	0.010299082
Proteobacteria	S12C3035-Lasker2021	0.03566914	0.072250985	0.020411786	0.06307097	0.055126213	0.0704808	0.12331154	0.11378799	0.21229878	0.07444919	0.009640303	0.33220762	0.031811316	0.015806757	0.050381463	0.05175241	0.065330856	0.005172478	0.001377172	0.010843335	0.04068694	0.03994077	0.00826742	0.019060208	0.006484298	0.006275156	0.004424206	0.009503258	0.003683841	0.034515854	0.004950226	0.004330364	0.001801964	0.036356304	0.053922623	0.000362154	0.004171161	0.001509495	0.009604202	0.015272969	0.001490051	0.020208836	0.017244095	0.059461802	0.069731124	0.054432817	0.002315215	0.002242562	0.000453695	0.000149948	0.003934555	0.003294403	0.003109422	0.062264543	0.029887393	0.05859886	0.04986325	0.03197646	0.040608466	0.000545421	0.027950017	0.033990953	0.003527207	0.0172248	0.015728638	0.06420384	0.07091293	0.002750856	0.00024086	0.010594545	0.015240212	0.03377161	0.08666907	0.075770326	0.08541065	0.019127624	0.032798696	0.030372962	0.000156913	0.0352004	0.039220463
Actinobacteriota	S12C524-Lasker2021	0.00797444	0.013249055	0.003463912	0.011774511	0.005352941	0.00321484	0.031147407	0.025549784	0.12706785	0.062606275	0.012235889	0.28045228	0.006467123	0.003913751	0.002310106	0.003254755	0.002642138	0.001735029	0.000802272	0.004736378	0.004152996	0.004178301	0.001855045	0.004575985	0.003216717	0.003988016	0.003415899	0.00351657	0.00617012	0.017267276	0.001879535	0.001420665	0.000714329	0.018131755	0.030246492	0.000144984	0.008683614	0.000508731	0.005531957	0.014994876	0.000599781	0.012199083	0.014295834	0.002429208	0.003581659	0.002499782	0.011482885	0.015240937	0.000378457	0.000568388	0.02362359	0.017326854	0.000265394	0.005307526	0.01020089	0.007293223	0.00879362	0.006855123	0.003712937	0.000185488	0.004495177	0.006490404	0.000802177	0.010311222	0.007828381	0.07715802	0.6005816	0.003111	7.43E-05	0.033250745	0.040188476	0.009891001	0.010012738	0.021191584	0.017812287	0.004033633	0.003796659	0.003682917	0.00018354	0.003939949	0.008449405
Bacteroidota	S12C528-Lasker2021	0.00813918	0.005748406	0.002057917	0.003802011	0.004073625	0.003279037	0.015195922	0.006303822	0.017854933	0.06896477	0.004522586	0.4246703	0.013187936	0.011502524	0.07142287	0.057452135	0.13619463	0.005761133	0.003068084	0.01800302	0.1040924	0.08735602	0.011934599	0.009256724	0.010504129	0.011225152	0.001665813	0.007186795	0.007891873	0.021461438	0.004010024	0.003966552	0.002206244	0.017088266	0.02330878	0.000369984	0.003824126	0.000743291	0.00344224	0.003651854	0.000672638	0.006861714	0.006418184	0.042766783	0.05175255	0.035060346	0.008375903	0.004449616	0.000655185	0.000295378	0.00563798	0.003030187	0.001009703	0.026877027	0.011186013	0.024976872	0.020585163	0.021279877	0.025704177	0.000262222	0.021768067	0.025076665	0.000616843	0.034526408	0.030053725	0.088365145	0.014760581	0.004329997	0.000533543	0.031383753	0.05334602	0.001778129	0.003926249	0.002717288	0.002766358	0.001644983	0.001189657	0.001020936	0.000198946	0.002372937	0.002970891
Proteobacteria	S12C7219-Lasker2018	9.21E-05	0.000111483	2.29E-05	0.000100978	4.39E-05	1.54E-06	7.75E-05	0.000145948	7.27E-05	0.000165988	6.32E-05	2.34E-05	0.000315784	0.000278009	7.51E-05	0.000102508	0.000124407	0.000316177	0.000117283	0.000289209	0.000139115	9.19E-05	0.000174151	0.000268759	3.20E-05	4.73E-05	3.59E-05	9.33E-05	0.000158328	0.000305076	0.00014729	0.000112922	4.40E-05	7.98E-05	0.000262088	3.28E-05	7.23E-05	0.000134606	0.000762292	0.002405391	0.000387882	0.003032986	0.003166378	0.000178061	0.000240619	0.000184979	0.009226164	0.014573741	0.000469821	0.000508231	0.014425318	0.020652674	4.01E-05	0.001687271	0.005784534	0.00266682	0.003752205	0.000585799	0.000482981	0.000104479	0.000612681	0.000474808	0.000200811	0.000415276	0.000319249	5.65E-05	9.38E-05	1.87E-05	0	0.000245641	0.000370524	6.35E-05	5.46E-05	9.93E-05	0.000107327	2.97E-05	8.23E-06	7.11E-06	5.20E-06	1.45E-05	2.43E-05
Proteobacteria	S15C143-Lasker2018	0.0021097	0.004435588	0.001906745	0.001327867	0.00705695	0.009406447	0.000984935	0.000851379	0.001326885	0.001536749	0.000702341	0.001825263	0.002913294	0.001549036	0.00316685	0.003789972	0.003508937	0.000811171	0.000439394	0.001608935	0.003026607	0.002312969	0.000901585	0.002247204	0.002279429	0.002943361	0.001016856	0.004237035	0.00397636	0.002016912	0.0005953	0.00049212	0.000287072	0.00223337	0.001883072	7.29E-05	0.002438942	0.001537702	0.005837984	0.014013234	0.002272792	0.015134475	0.013785071	0.005713669	0.007067119	0.005843381	0.040553	0.044602245	0.001347655	0.000996961	0.07777569	0.14691442	0.000921008	0.03790188	0.05747422	0.04163351	0.037004586	0.005896216	0.006824886	0.000345411	0.006253963	0.004440636	0.000721403	0.004565445	0.003766778	0.001904748	0.001231193	0.000363896	1.22E-06	0.001981756	0.001533094	0.001050173	0.001606223	0.001461635	0.001431463	0.000633848	0.001746116	0.00179716	3.24E-06	0.001430502	0.001948066
Proteobacteria	S15C212-Lasker2018	0.014456636	0.017124224	0.004006384	0.016184516	0.005436584	0.001985208	0.08653865	0.06636449	0.06605642	0.043270756	0.010864125	0.036405373	0.0157015	0.013108628	0.0459565	0.03412738	0.04257079	0.004853961	0.001799643	0.011985974	0.04114351	0.040639874	0.00759709	0.026804615	0.03034731	0.02707443	0.00515245	0.03371002	0.019018821	0.010966259	0.00341598	0.002774322	0.001540064	0.013014478	0.008585311	0.000163234	0.005751724	0.001186104	0.005262331	0.011555126	0.001504909	0.012244239	0.0111335	0.04580147	0.052244376	0.03558666	0.007222948	0.004783948	0.000913429	0.000224043	0.001016194	0.008616813	0.001423696	0.022202386	0.02076489	0.02546802	0.026882757	0.033081364	0.027738033	0.000575254	0.023959378	0.043639578	0.001807672	0.04408791	0.038552947	0.021577502	0.025128905	0.002204112	6.43E-05	0.010744647	0.008299485	0.020310026	0.041929588	0.028043801	0.030545535	0.002180723	0.002597231	0.002675257	0.0001204	0.006025658	0.008735912
Proteobacteria	S15C36-Lasker2021	0.000935336	0.007692265	0.00625424	0.000822887	0.004058239	0.025691466	0.004638761	0.001021167	0.025082394	0.008174609	0.000408741	0.019174922	0.02103161	0.085657	0.19282629	0.10239633	0.18538424	0.004425291	0.000228272	0.011354203	0.07294641	0.033856716	0.006229003	0.001334046	0.002578708	0.003130278	7.29E-05	0.000794543	0.001105273	0.026028411	0.00195556	0.001485376	0.000436406	0.028239476	0.046813637	3.07E-05	0.000535221	1.65E-05	1.73E-05	5.19E-05	0.000100769	3.40E-05	3.32E-05	0.000619205	0.000799401	0.000655197	9.64E-05	5.37E-05	0	4.80E-05	0	4.52E-05	0.000116659	0.000291236	0.000116717	0.000328652	0.000183363	0.000311292	0.00036499	7.35E-06	0.000162742	0.00047222	8.28E-06	0.000323322	0.000226428	0.04560896	0.005393255	0.003824385	4.04E-05	0.005346531	0.015492267	0.000802216	0.003128896	0.001703905	0.00180274	0.000273067	0.000518358	0.000508841	3.16E-05	0.000428846	0.000848008
Proteobacteria	S16C1556-Lasker2018	0.000237514	6.91E-05	5.19E-05	0.000132562	1.33E-05	3.91E-05	1.15E-05	3.31E-05	9.83E-05	6.00E-05	4.54E-05	6.65E-05	0.000341387	0.000743267	0.000219661	0.000520571	0.0002143	0.000527555	0.000336641	0.000607292	0.000423198	0.000383257	0.000321139	0.001450997	0.000462455	0.000460359	0.000193021	0.000627003	0.0007795	0.000306118	0.000326962	0.000227992	0.000198198	0.000436169	0.000244063	4.08E-05	0.000114887	0.000495887	0.00329096	0.013039194	0.000701907	0.012875724	0.011587402	0.001791554	0.002366485	0.001626224	0.018926976	0.016267387	0.000649352	0.000420058	0.015438521	0.032148685	0.000317499	0.007909835	0.019388244	0.01269662	0.017568044	0.002747417	0.002300231	0.000140805	0.001954498	0.002290896	0.000352013	0.002609172	0.0021117	0.000106879	4.50E-05	0.000194452	2.07E-06	0.000110053	0.000109226	8.21E-06	5.04E-06	9.01E-06	4.52E-06	1.06E-05	1.86E-05	6.99E-06	9.28E-06	1.04E-05	1.93E-05
Proteobacteria	S16C156-Lasker2021	0.003721649	0.005901133	0.001343638	0.004992068	0.003163723	0.002567177	0.012255441	0.009458289	0.012090809	0.009432128	0.002578366	0.013170497	0.012987046	0.012233447	0.02033989	0.03869562	0.023154505	0.004348658	0.000759328	0.005370711	0.018545622	0.017604437	0.004417776	0.007975118	0.01206304	0.016210655	0.002814509	0.014458117	0.010883646	0.01160857	0.002832697	0.002346384	0.001072476	0.011100792	0.012130977	7.70E-05	0.00942121	0.00031395	0.002018184	0.004206103	0.00026602	0.003838301	0.00368689	0.009907693	0.012039611	0.00919043	0.001199792	0.001195539	8.09E-05	2.64E-05	0.000748342	0.000423071	0.000586884	0.018859789	0.01781413	0.020809604	0.019624524	0.008893954	0.007630843	0.000102963	0.00656005	0.009221441	0.000229753	0.008630678	0.008122182	0.014230483	0.007139624	0.001951016	8.98E-06	0.018683812	0.013587304	0.006403471	0.010985823	0.01071854	0.009066665	0.001985113	0.003302002	0.003310039	3.09E-05	0.004314424	0.005119265
Bacteroidota	S16C283-Lasker2018	0.006533621	0.024631575	0.021613646	0.001387047	0.047773715	0.03892745	0.001321542	0.000835197	0.001428741	0.001885567	0.00072271	0.001442377	0.012815014	0.005171925	0.003630793	0.007312815	0.003234652	0.001215907	0.000260933	0.002477029	0.006515571	0.01011316	0.001360919	0.005590003	0.006806253	0.007156802	0.001484533	0.004636293	0.008251132	0.005869187	0.001134903	0.000873491	0.000479706	0.008399607	0.006289961	3.27E-05	0.006848108	9.39E-05	0.002450862	0.02267339	0.000115157	0.018663662	0.024747321	0.005625865	0.008812758	0.005386009	0.002397934	0.001670874	0.000111546	3.29E-05	0.005894222	0.013524638	9.09E-05	0.005123428	0.003117633	0.004517419	0.003210855	0.008852203	0.00416194	2.14E-05	0.005460559	0.008051439	8.14E-05	0.024749888	0.018484365	0.001555989	0.000857135	0.000357328	1.22E-06	0.004406908	0.004859409	0.001167053	0.00256565	0.002478488	0.001820814	0.006818578	0.009514645	0.010650701	2.76E-06	0.004602302	0.006178806
Proteobacteria	S16C36-Lasker2021	0.000405449	0.00601914	0.005233753	0.000202148	0.002613202	0.023554027	0.003069588	0.000194357	0.019670246	0.006587579	0.000295523	0.015418641	0.018848924	0.07991147	0.12153479	0.15112737	0.17468645	0.004300309	0.000231673	0.00991585	0.066830315	0.030173063	0.005450265	0.001209212	0.001927865	0.002436716	7.27E-05	0.000333239	0.000932745	0.023487415	0.001469725	0.001227764	0.000233928	0.026986461	0.04155009	0	0.000264205	7.60E-06	2.65E-06	8.38E-06	3.96E-05	1.67E-05	6.91E-06	0.000383874	0.000304581	0.000341861	0.000112336	7.79E-05	8.49E-05	2.40E-05	4.46E-06	7.68E-05	0.000113684	0.000286441	0.000144452	0.000192647	0.000112684	0.000212889	0.000171798	3.36E-06	6.50E-05	0.000190078	2.90E-06	9.63E-05	0.000159873	0.03973097	0.004247518	0.003569995	3.29E-06	0.004321137	0.014960704	2.62E-05	0.001319395	0.000500882	0.000406204	2.94E-05	5.80E-05	6.93E-05	1.21E-05	9.74E-05	0.000216796
Proteobacteria	S16C45-Lasker2018	0.001936358	0.002995948	0.003952074	0.001272887	0.003913353	0.006004004	0.000798757	0.000412035	0.000813982	0.000318558	0.000431931	0.000510877	0.008320922	0.011577109	0.020853672	0.01297368	0.023450624	0.004172138	0.000518136	0.007423725	0.016738659	0.027149746	0.004256442	0.004903907	0.010832517	0.009608408	0.002089883	0.012808048	0.010200853	0.003449407	0.003144595	0.002981324	0.000879094	0.003867097	0.001865293	0.001251642	0.004923449	0.000755399	0.001199502	0.001610745	0.001061355	0.001079758	0.001344681	0.002157697	0.003889207	0.002245724	0.002195507	0.000619199	0.000563349	0.000566637	0.001992866	0.001899172	0.002501309	0.008778109	0.011751783	0.010119055	0.008014129	0.001038548	0.002083606	0.000389218	0.001967164	0.002378407	0.000224527	0.004328477	0.002386301	0.000771762	0.000145341	0.002416107	0.004206833	0.003233661	0.002163413	0.000645574	0.00146957	0.000442354	0.000235755	0.00237806	0.001876524	0.00212302	0.000530473	0.001269004	0.001337095
Proteobacteria	S16C660-Lasker2018	0.27100682	0.3737712	0.14861327	0.29335254	0.19533336	0.08343039	0.6970072	0.41734436	1.3424013	0.8816403	0.14310075	1.5516728	0.16993007	0.2396809	0.37480944	0.4536246	0.55995184	0.22574337	0.09311855	0.29314467	0.6252776	0.57396317	0.16447978	0.7364728	0.8449453	1.0458682	0.16210058	0.38651294	0.93146527	0.48536766	0.1455779	0.15404056	0.088085406	0.73324215	0.7248151	0.005931855	0.33212286	0.030612923	0.16211593	0.34054103	0.0513024	0.4006619	0.4285539	0.9915437	1.1531903	0.8113145	0.6845688	0.8493734	0.02792729	0.009063209	0.3041307	0.37058085	0.051547367	0.618915	0.8636298	0.7565261	0.93305874	1.2146109	0.7657733	0.013953102	0.6982439	1.2376926	0.08035601	0.9359638	1.045573	0.9204351	0.55880916	0.13805367	0.000778404	0.5476259	1.1176867	0.2566264	0.7489873	0.6159051	0.52566576	0.26146522	0.35863277	0.3890667	0.00350303	0.3891731	0.42252147
Thermoplasmatota	S16C713-Lasker2018	0.05229946	0.095597394	0.025374962	0.04724857	0.109239504	0.096247435	0.035997715	0.03811284	0.02484458	0.028515596	0.011598693	0.020003002	0.10918938	0.09586883	0.07091816	0.12009452	0.10982786	0.039125904	0.008194601	0.027882768	0.0841534	0.07672849	0.017295167	0.051988903	0.023783315	0.023402281	0.006288691	0.020402294	0.019919714	0.051791158	0.022034392	0.020627882	0.009479021	0.075943306	0.050083704	0.000278086	0.00893295	0.011877329	0.037751745	0.0378819	0.015452535	0.04397172	0.03665336	0.10329095	0.117162906	0.09761601	0.31575388	0.20425938	0.009287688	0.005034164	0.36247823	0.33553317	0.00876028	0.35717326	0.5166934	0.35823867	0.45623246	0.0800744	0.095588006	0.002409849	0.08904813	0.086954996	0.009928332	0.05102873	0.0486961	0.015537686	0.009448773	0.016392589	0.000113668	0.016414339	0.016216738	0.02795318	0.007631228	0.02018323	0.025271915	0.0206619	0.046759978	0.04802794	2.87E-05	0.048988286	0.050920833
Bacteroidota	S16C914-Lasker2018	0.037302986	0.07915375	0.037173875	0.017626261	0.09805263	0.034800034	0.0780926	0.049881797	0.10566963	0.08035187	0.009941061	0.043109976	0.070104845	0.040810835	0.024415152	0.039857827	0.021131724	0.007956331	0.001855068	0.008710653	0.030500533	0.04280947	0.008061135	0.016630162	0.014749969	0.012366526	0.002732421	0.009638899	0.004984647	0.04059713	0.006216183	0.005422632	0.002280243	0.03615389	0.045157112	3.02E-05	0.004180786	0.000837943	0.006873189	0.018468939	0.001078479	0.02848356	0.029802717	0.07534489	0.100150466	0.07348574	0.010040244	0.004566517	0.000423245	0.000226689	0.007459084	0.015389659	0.001166201	0.09362494	0.027878731	0.07243463	0.0478045	0.04766534	0.049305294	0.000300091	0.054014746	0.045253146	0.002546442	0.06747655	0.051792953	0.038760394	0.03260032	0.00335217	8.61E-06	0.006804337	0.010371414	0.028815571	0.058801714	0.09414579	0.06826121	0.017951228	0.031026322	0.041116677	2.63E-06	0.026561549	0.044694606
Actinobacteriota	S17C107-Lasker2018	0.021047633	0.000214393	0.00011297	0.013753566	3.17E-05	4.80E-06	7.12E-05	0.000472824	2.50E-05	0.000374398	0.017829582	2.15E-05	0.00451536	0.016592845	0.000212776	0.002005666	0.000166811	0.06637327	0.13494053	0.02198912	0.001294997	0.000850737	0.040563237	0.014854794	5.53E-05	5.66E-05	0.01613124	0.002610255	0.000537155	0.004236741	0.072362445	0.09142146	0.13064837	0.005874106	0.002807212	0.121585816	0.002902037	0.068726435	0.009183565	4.73E-05	0.07737691	2.07E-06	5.71E-07	0.000205386	0.000475105	0.000187129	0.009650153	4.23E-05	0.23018463	0.07988682	2.13E-05	2.61E-06	0.121106006	0.004407391	1.66E-05	0.003003212	8.58E-05	2.40E-05	0.021298923	0.1260689	0.011532681	7.93E-05	0.072129	0.000104499	6.38E-06	0.000208206	2.16E-05	0.054704603	0.15179269	0.001384032	2.74E-05	0.011654395	5.58E-06	2.07E-05	0.00022719	0.002324694	0.000250616	0.000272446	0.11291493	0.002254189	0.002284994
