		zr2760_10_	zr2760_12_	zr2760_16_	zr2760_17_	zr2760_18_	zr2760_20_	zr2760_21_	zr2760_23_	zr2760_24_	zr2760_25_	zr2760_26_	zr2760_27_	zr2760_28_	zr2760_29_	zr2760_30_	zr2760_31_	zr2760_32_	zr2760_33_	zr2760_35_	zr2760_36_	zr2760_37_	zr2760_38_	zr2760_39_	zr2760_40_	zr2760_41_	zr2760_42_	zr2760_43_	zr2760_44_	zr2760_45_	zr2760_46_	zr2760_47_	zr2760_48_	zr2760_49_	zr2760_50_	zr2760_51_	zr2760_52_	zr2760_53_	zr2760_54_	zr2760_55_	zr2760_56_	zr2760_57_	zr2760_58_	zr2760_59_	zr2760_60_	zr2760_61_	zr2760_62_	zr2760_63_	zr2760_64_	zr2760_65_	zr2760_66_	zr2760_67_	zr2760_68_	zr2760_69_	zr2760_70_	zr2760_71_	zr2760_73_	zr2760_74_	zr2760_75_	zr2760_76_	zr2760_77_	zr2760_78_	zr2760_79_
Thermoplasmatota	S1C1023-Lasker2018	-3.68726991	-3.821954951	-2.3601285	-4.165269191	-2.655967022	-3.520257848	-4.626751701	-3.791198156	-3.826164672	-4.07031863	-3.016892317	-3.986865955	-2.194329872	-3.794205348	-3.783449376	-2.762358652	-2.375478515	-3.003186165	-2.933834091	-1.973937309	-3.209645283	-2.749026254	-2.997776542	-2.540231035	-3.480633848	-2.299538329	-4.510848131	-3.315775678	-2.466141372	-2.245088738	-2.263750695	-2.424853738	-2.917756636	-2.484041372	-2.684351775	-3.144658405	-2.575441465	-2.29336918	-2.414841207	-2.814005077	-2.4493797	-2.076673049	-2.787743003	-2.588062917	-3.47952552	-2.73792544	-2.442425017	-2.932692538	-2.401762309	-2.739675537	-2.975111001	-3.175252534	-2.51125513	-4.931552478	-3.048057806	-5.670079379	-6.584023646	-2.707588903	-3.093432626	-6.009869117	-6.885665074	-2.860834822
Proteobacteria	S1C183-Lasker2018	-9.641316014	-10.61954813	-7.309397852	-5.999214218	-5.867427685	-5.745687274	-4.865291918	-5.646402679	-5.534849826	-8.388099211	-10.80101335	-13.4294408	-10.84266336	-6.434588969	-5.323173886	-10.01699326	-7.050226456	-7.293106485	-11.63261267	-11.11065472	-6.467173573	-4.157952189	-11.0943054	-6.750203134	-8.580010581	-10.33016843	-12.74859804	-20.72326584	-7.490500911	-5.133667709	-11.6152342	-7.38480924	-8.449941495	-8.678770329	-12.18932134	-6.810240168	-6.889446905	-5.086993797	-11.11751507	-8.66938737	-9.444676199	-11.0331779	-8.884360055	-11.42475105	-7.069109205	-5.536746398	-10.85175911	-6.981610345	-8.994998374	-10.89870629	-11.29796006	-12.68264362	-6.955828112	-5.313393239	-12.24525598	-9.20753531	-10.90096361	-20.72326584	-20.72326584	-6.910868319	-5.637496824	-9.182413386
Proteobacteria	S1C271-Lasker2021	-7.340518154	-7.699215644	-4.120461582	-7.643476404	-3.995017189	-6.650525017	-7.235879418	-7.355110921	-6.991774482	-7.741373694	-5.618914939	-7.286120041	-4.316711665	-6.973136715	-7.115548933	-3.957909836	-4.092572274	-3.768053752	-4.20962761	-4.444698568	-3.907937712	-3.837522675	-4.054867344	-4.187875952	-3.839001194	-4.309306797	-3.649855799	-3.929450842	-4.279069693	-4.268596812	-4.264069108	-4.129753235	-3.906263722	-3.719084467	-4.068664184	-3.717741587	-4.018464438	-4.115713991	-4.216538976	-3.971942929	-4.18653367	-4.605758159	-4.210172134	-4.359056402	-3.568944034	-3.941740993	-4.042706115	-4.051202605	-4.184867107	-3.972542839	-4.144869036	-4.174882523	-4.296196081	-4.493503774	-3.923967508	-3.434138915	-4.045210971	-4.310460118	-4.343693161	-4.508930302	-3.873641875	-4.240904505
Verrucomicrobiota	S1C2904-Flyer2018	-2.180070018	-2.701915542	-3.785048827	-2.828266469	-4.059461223	-2.475196831	-2.942502626	-2.697861567	-2.692562354	-2.67116424	-2.905595507	-2.811856875	-3.530666488	-3.054204602	-2.843772266	-3.827469104	-3.862657864	-4.14295424	-4.244642125	-3.325799812	-4.060645411	-3.847618196	-3.968916107	-3.951128453	-3.999954023	-3.478769723	-5.124880058	-4.231510414	-3.965971506	-3.876443818	-3.715382415	-3.800991644	-3.992096343	-3.774399043	-3.93560125	-4.000227585	-3.782784458	-3.708155367	-3.869347114	-3.921059916	-3.842072173	-3.431530422	-4.173953741	-3.968339209	-4.539382352	-3.74034809	-3.849280205	-4.291545478	-3.966087927	-4.132516758	-4.228776726	-4.313101051	-4.024021504	-5.665767007	-4.419525158	-6.433823998	-6.998522968	-4.22733256	-4.561787952	-7.184300345	-6.683538464	-3.946321067
SAR324	S1C3692-Flyer2018	-2.255691956	-2.454412359	-2.492494868	-2.492320331	-2.249582898	-2.378560166	-2.752486595	-2.526654635	-2.484984921	-2.494925216	-2.287819631	-2.496947924	-2.346819351	-2.376596759	-2.496250537	-2.281536762	-2.504626604	-2.369445016	-2.551330916	-2.173602773	-2.264423874	-2.230404246	-2.40482392	-2.443770722	-2.038380285	-2.294271537	-2.873745375	-2.37963936	-1.932993749	-1.985034453	-2.452412478	-2.325503617	-2.363086909	-2.163708969	-2.556747145	-2.332632107	-2.262322509	-2.359923517	-2.456536348	-2.108014768	-2.46730733	-2.244634717	-2.379950909	-2.578559027	-2.556253047	-2.140634787	-2.469561389	-2.505814491	-2.554354791	-2.751996274	-2.789687175	-2.812074044	-2.643185204	-3.718660582	-2.963397367	-3.372066137	-5.302313942	-2.711992999	-3.096007939	-4.769601885	-5.161898048	-2.617937948
Proteobacteria	S1C39-Lasker2018	-10.91874755	-10.75791514	-10.55455852	-11.1587379	-10.96272587	-10.90001029	-10.3373872	-10.93860416	-10.15827831	-10.52122467	-10.5569697	-11.29115958	-10.64351986	-10.27484142	-10.25653349	-10.05507585	-10.40911952	-10.06721349	-10.79751032	-10.46884082	-10.19095008	-10.38578468	-10.27544793	-10.36721015	-10.55153797	-11.04485927	-10.40686862	-9.99522561	-10.40273322	-10.09566693	-10.85927345	-10.53289898	-10.10895581	-10.66447256	-10.73993469	-10.53898787	-11.00672625	-10.44333047	-10.94581169	-10.7177909	-10.45920127	-10.45792204	-10.41904834	-10.95028215	-10.60440766	-10.51401919	-10.54494045	-10.51702768	-10.21639745	-10.73091942	-10.50303401	-11.11156718	-10.60862602	-10.42715596	-10.41693618	-10.21027998	-10.60371494	-12.59728639	-10.7555937	-10.12247911	-10.46554682	-10.46974791
Proteobacteria	S1C57-Lasker2021	-4.350455567	-4.402219709	-5.973355667	-4.367700308	-5.326605839	-4.488288178	-5.143739361	-4.43988357	-4.559936911	-4.352352344	-4.260371851	-4.675260088	-5.489892122	-4.773902615	-4.51910534	-5.24633383	-5.691600635	-5.099382085	-5.521767715	-5.328678496	-5.239827162	-5.227241945	-5.11308746	-5.830225574	-4.860775593	-5.194536618	-4.75917511	-4.937652252	-5.507587698	-5.552243786	-5.512627745	-5.345623169	-5.322867264	-5.023203494	-5.095345176	-5.413730912	-5.111828273	-5.440245513	-5.447866185	-5.05347213	-5.496369946	-5.065549557	-5.317939385	-5.397055525	-4.37580014	-4.973961813	-5.630610743	-5.587092917	-5.806458264	-6.126731846	-5.681492091	-5.621628717	-5.865644208	-4.710309282	-6.285777623	-5.718484339	-5.356856003	-6.101931858	-6.286468452	-5.770211101	-5.752273426	-5.323220573
Proteobacteria	S1C6827-Lasker2018	-2.320263835	-2.245762362	-5.791803164	-2.144974682	-5.695795853	-2.473372453	-2.35465689	-2.148712429	-2.319917383	-2.200989607	-2.566679801	-2.211823232	-5.064590924	-2.424719044	-2.313486083	-5.346436966	-5.630333036	-6.125940431	-5.918080265	-4.55584407	-5.820853087	-5.743102254	-5.996332175	-5.547048506	-5.559904623	-4.82021574	-4.696059034	-6.040291118	-5.38963188	-5.227310815	-5.42311331	-5.752118724	-6.205597318	-5.948451994	-5.915539153	-5.73141388	-5.83056743	-5.332699227	-5.469313538	-5.815384025	-5.510602707	-4.474488212	-6.128374165	-5.608081871	-4.727754404	-5.959373342	-5.695096408	-6.17776256	-5.8424827	-6.198990441	-6.374538733	-6.186146986	-5.860264791	-5.28303494	-6.196897069	-6.633307089	-7.090625126	-5.576859998	-6.186194029	-6.919035361	-7.320535573	-6.111193936
Bacteroidota	S20C106-Lasker2018	-7.198955533	-7.357327146	-6.681992281	-7.51603327	-6.118625418	-7.087712194	-7.87973897	-7.177361443	-7.208348435	-7.359142631	-6.181707798	-7.277580308	-7.314740497	-7.262571908	-7.040376275	-6.131001273	-6.202744599	-6.679074765	-6.093160319	-7.414044923	-5.753668486	-5.863942283	-6.925059233	-6.325824616	-6.582794329	-7.169450825	-3.51137622	-6.671711929	-6.88023856	-6.766378033	-6.753037046	-6.146569008	-6.222294211	-5.925000219	-6.860606747	-4.958298712	-6.021254989	-6.879000101	-6.814668205	-5.90859772	-6.590693352	-7.216807638	-5.935947195	-6.808013117	-3.667696251	-6.015940535	-6.339003296	-5.807227659	-6.099015371	-5.455953788	-6.726891868	-5.549839405	-6.191521458	-4.158376652	-4.866351785	-3.150306213	-3.665674543	-5.77201864	-6.041767301	-3.807748399	-3.477927584	-5.883301897
Thermoplasmatota	S20C165-Flyer2018	-2.838812323	-2.932498015	-3.356210125	-3.201786237	-3.4959776	-2.760952115	-3.619090068	-2.971423949	-3.017264497	-3.185439163	-2.723946363	-3.071226936	-3.057385553	-3.03229199	-2.974192763	-3.512463669	-2.677217817	-3.879813835	-3.837229404	-2.801487465	-3.89698337	-3.550974504	-3.923573911	-3.499797103	-3.984424197	-3.131391506	-4.779133887	-4.122733049	-3.501661703	-3.385560744	-3.285605358	-3.409563954	-3.67823012	-3.278500731	-3.671459821	-3.83484995	-3.451618078	-3.278688968	-3.372074616	-3.665616312	-3.42032531	-2.903850856	-3.594111312	-3.553820309	-4.222278416	-3.380471563	-3.511188335	-3.721247658	-3.430512213	-3.821218735	-4.045872963	-4.22363281	-3.532068579	-5.381854335	-4.162589913	-6.087130782	-7.2322196	-3.750944152	-4.106578007	-6.883933875	-7.321673817	-3.682013161
Proteobacteria	S20C184-Lasker2018	-7.647633336	-8.135435223	-5.416057753	-8.197772655	-4.628315688	-7.451284035	-7.954481743	-7.826068805	-7.607069839	-8.239194098	-6.461774335	-8.016360935	-5.444818145	-7.279353814	-7.785437216	-4.695811562	-4.913912122	-4.761179058	-4.920484401	-5.554466199	-4.522941101	-4.611320259	-5.006136275	-5.014245503	-4.634999798	-5.263549302	-5.644556807	-4.751678096	-4.780671494	-4.909791643	-5.159548526	-4.822325826	-4.692223637	-4.443026082	-5.059277947	-4.171891876	-4.636022048	-5.129136606	-4.8410638	-4.660912415	-4.936156637	-5.245994156	-4.849585638	-4.795288136	-5.956326387	-4.6556902	-5.305859134	-4.615968984	-5.142728978	-4.791102132	-4.937952349	-4.248780833	-4.910393572	-5.065998914	-4.507528272	-6.29821457	-6.215824238	-4.969835108	-4.943963745	-5.189717882	-5.81437693	-4.823477949
Bacteroidota	S20C361-Lasker2021	-5.690013602	-5.870843338	-4.987514296	-6.08788902	-4.425634339	-5.5175437	-6.123582083	-5.846250365	-5.606260216	-6.120701449	-4.720984935	-5.83311176	-5.588228401	-5.667889986	-5.894499991	-4.55162449	-4.666397396	-4.966601667	-4.51772522	-5.736336741	-4.159874294	-4.359996842	-5.179039733	-4.63480221	-4.776180714	-5.466405114	-2.96062107	-5.005380027	-5.489537559	-5.458876336	-5.107838257	-4.37697422	-4.685826002	-4.288765535	-5.079710892	-2.545419416	-4.360191877	-5.078669839	-5.105562757	-4.402107145	-5.111718537	-5.417688327	-4.27617476	-5.084972223	-2.615725551	-4.47433374	-4.924167007	-3.654505777	-4.72791844	-3.986377277	-5.051194901	-4.027771344	-4.495513861	-2.608808926	-2.478423499	-2.260025527	-1.574247951	-3.510859268	-4.102695676	-1.690413933	-1.319495518	-3.91311395
Bacteroidota	S20C631-Lasker2018	-7.869269867	-7.686045924	-7.350911818	-8.030251942	-6.831776201	-7.512857151	-8.296860387	-7.577548753	-7.529076879	-7.76522056	-6.128886469	-7.826196471	-8.448161421	-7.326208564	-7.518060412	-6.912779479	-6.850839645	-7.500418957	-6.887963828	-8.787725957	-6.334937254	-6.809253652	-7.640260734	-7.190723944	-7.150578715	-8.371383876	-4.905900173	-7.461404378	-8.175300565	-8.171928826	-7.570601292	-6.864430691	-7.121808027	-6.794337133	-7.670842379	-4.895513864	-6.498351537	-8.283669778	-7.403499205	-6.643624422	-7.558055828	-8.601593634	-6.498672323	-7.639424331	-4.760025439	-6.595436693	-7.522140559	-5.81722933	-7.040400664	-6.322564258	-7.529781215	-5.852241045	-6.807526579	-4.657556393	-5.079405573	-4.735659866	-4.735421478	-5.84341023	-6.168424949	-4.431961484	-4.495818237	-6.083443924
Bacteroidota	S21C113-Lasker2021	-5.308482456	-5.017554628	-6.586803507	-5.113212071	-5.602274956	-5.386034665	-5.627739021	-4.921819796	-5.012418774	-5.152685036	-5.255849891	-4.975280322	-6.168713217	-5.315357529	-5.004350237	-5.812161441	-5.966260573	-5.56904898	-6.022324247	-5.961705182	-5.699397921	-5.74944479	-5.778375307	-6.044235016	-5.518010378	-5.808679664	-4.240626244	-5.518394051	-4.885178709	-5.003996579	-5.897254827	-5.95682284	-5.858699898	-5.928803487	-5.694065924	-5.629351493	-5.677654278	-5.890610852	-5.823715725	-5.738579189	-6.001621959	-5.526513335	-5.839982133	-5.789162993	-4.713906727	-5.600525283	-6.066975904	-5.873741887	-6.435234196	-6.344607849	-6.057402789	-5.809354679	-6.186189849	-4.360252932	-6.317175241	-4.288515745	-4.518865617	-6.212880741	-6.680312104	-3.801873252	-4.059872819	-5.948206342
Thermoplasmatota	S21C165-Flyer2018	-2.813288608	-2.909809582	-3.419585563	-3.175072024	-3.490993684	-2.747535652	-3.525325275	-2.939978772	-3.008755691	-3.157215951	-2.716885351	-3.047880439	-3.13774338	-3.017553535	-2.939791205	-3.554749481	-3.488935193	-2.888234358	-3.896055911	-2.862613619	-3.950872156	-3.600663396	-4.006983181	-3.557223424	-3.988061047	-3.22287471	-4.779922045	-4.157044327	-3.532490321	-3.456610688	-3.32344038	-3.493131766	-3.668384361	-3.266813283	-3.68665521	-3.894937694	-3.524226709	-3.342953276	-3.467087824	-3.729304278	-3.468270376	-2.952975033	-3.640154397	-3.574075714	-4.21025601	-3.424602681	-3.594469352	-3.786494135	-3.44608626	-3.865097388	-4.10611219	-4.261711625	-3.604552828	-5.382038229	-4.212055194	-6.019364311	-6.927266185	-3.86660213	-4.114017594	-6.782914011	-7.145369857	-3.733430058
Bacteroidota	S21C16-Lasker2021	-7.669389994	-7.846209568	-5.749669713	-7.71300937	-5.013529027	-7.339880634	-7.084570623	-7.368685255	-7.16599778	-7.851269069	-6.159618287	-7.494030107	-5.760815695	-6.796505449	-7.453289245	-5.154836158	-5.316103405	-4.980884666	-5.249169171	-5.790816714	-4.896908608	-4.951991437	-5.263673264	-5.422596426	-4.906606009	-5.514094988	-4.684302358	-5.108851359	-6.195944011	-6.130714201	-5.62453965	-5.12399438	-5.160101959	-4.90550968	-5.156850791	-3.779201921	-4.977279864	-5.401095885	-5.401667682	-4.85325982	-5.377427892	-5.329956548	-4.871785594	-5.326874117	-4.037542465	-4.717457638	-5.498739271	-4.61442286	-5.495727871	-5.105347043	-5.507347433	-4.760858614	-5.356302687	-2.813240981	-4.210569819	-4.002501258	-2.461080645	-4.821048444	-5.168034996	-2.3441166	-2.290792391	-4.611865047
Bacteroidota	S21C1931-Lasker2021	-6.60896021	-6.489401982	-6.98696587	-6.568712064	-6.307499675	-6.792796494	-7.177380626	-6.469252701	-6.613862235	-6.565202992	-6.741502893	-6.565366437	-7.029326594	-6.679613679	-6.669731549	-6.365734464	-6.698210169	-6.106148839	-6.53690929	-7.296331707	-6.357530304	-6.215978938	-6.206242785	-6.816878001	-6.306107404	-7.033512852	-4.304271761	-6.092894044	-6.660718576	-6.779498749	-6.754744277	-6.392469417	-6.471831967	-6.250351604	-6.069446673	-6.471787866	-6.177147587	-6.89962244	-6.510796581	-6.180782296	-6.534631492	-7.062058555	-6.362409163	-6.487447536	-4.594380406	-6.079046487	-6.535902799	-6.504435136	-6.918628681	-6.868593606	-6.580190597	-6.310375003	-6.916134688	-4.384177827	-7.049730287	-4.36167263	-4.229624156	-7.101255687	-7.224909774	-4.178892046	-4.308534715	-6.164760351
Proteobacteria	S21C217-Lasker2021	-7.584061862	-8.321015246	-4.181144333	-7.853462154	-3.984860239	-7.086011271	-7.481492712	-7.414186572	-7.296735862	-7.980096494	-5.759687651	-7.635263227	-4.144039303	-7.051245468	-7.676679578	-3.993256326	-4.175880419	-3.764652646	-4.267628593	-4.17572218	-3.89634185	-3.90181063	-4.01497304	-4.294669304	-3.766676642	-4.131204416	-4.550732854	-3.905304078	-4.196083444	-4.153595456	-4.207302331	-4.152538835	-3.901382072	-3.785683173	-4.013254778	-3.791480846	-3.984301644	-4.198220447	-4.241482251	-3.941336117	-4.185630458	-4.308095215	-4.122670521	-4.371861753	-4.148463508	-3.810913267	-4.168718557	-3.986975242	-4.269570902	-4.173019363	-4.193928196	-4.328628741	-4.423552544	-4.473582168	-4.151497814	-4.597493428	-3.745306155	-4.42604005	-4.473539737	-4.414917001	-3.740870255	-4.239877145
Proteobacteria	S21C36-Lasker2021	-9.541544553	-10.17817111	-20.72326584	-9.80036073	-11.2155275	-10.12577247	-9.567993222	-10.01640538	-9.626462212	-10.20166714	-10.13286565	-9.986122223	-20.72326584	-10.07736439	-10.19551197	-20.72326584	-10.42681736	-11.65119377	-20.72326584	-20.72326584	-11.28672021	-10.37648693	-11.4697224	-20.72326584	-11.85318099	-12.86496326	-8.794482589	-10.55406057	-11.69993793	-9.829056691	-9.840427743	-20.72326584	-20.72326584	-10.87730444	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-11.25534393	-10.98600844	-20.72326584	-10.91282976	-10.70232419	-20.72326584	-7.646911571	-12.14980563	-11.09072104	-20.72326584	-20.72326584	-10.48081188	-20.72326584	-20.72326584	-11.07541184	-6.586824473	-10.99870061	-7.289049228	-5.530741222	-11.68955609	-20.72326584	-5.621356781	-5.788521646	-9.885754615
Bacteroidota	S21C820-Lasker2021	-10.34083	-9.500976269	-5.957401922	-8.761874908	-5.145641087	-8.451066276	-8.885682653	-8.391240816	-8.322564389	-9.005059737	-8.485452887	-8.514005777	-5.85079182	-8.689935318	-9.329009342	-5.323599606	-5.461806249	-5.02671483	-5.478903063	-6.199534429	-5.022671236	-5.334054188	-5.058766672	-5.772389742	-5.199023858	-5.94272627	-4.585786078	-4.7536398	-6.457783517	-6.707295306	-5.421869235	-5.373036904	-5.290827942	-5.250786662	-5.073165433	-5.239506964	-5.393115571	-5.440237515	-5.537319935	-5.160538955	-5.69013256	-5.857993516	-5.042776792	-5.501920727	-5.150777231	-4.782143311	-5.856709344	-5.287678679	-5.757078004	-5.734269157	-5.558184474	-5.217079466	-5.698791829	-4.595735929	-5.588739242	-4.720714941	-5.060593648	-5.912614329	-6.070843742	-4.983775641	-5.224863394	-5.335849092
Proteobacteria	S22C156-Lasker2021	-9.213160745	-9.27675222	-7.075797197	-9.519562917	-6.4931467	-8.91286813	-8.847591621	-9.220874411	-8.680930392	-9.745057215	-7.251573088	-8.893919907	-6.883601641	-8.244823952	-8.902556158	-6.603230396	-6.626094624	-6.254397657	-6.813653192	-6.935936876	-6.529837334	-6.315977146	-6.633215743	-6.78095577	-6.308856197	-6.744273668	-4.614391573	-6.445905616	-7.420609459	-7.220424684	-6.829262449	-6.845587848	-6.505658638	-6.190952023	-6.482565651	-6.145648427	-6.447748389	-7.103423994	-6.655102558	-6.374891705	-6.730748655	-6.814225137	-6.535877151	-6.764098497	-4.634490558	-6.360390631	-6.688202647	-6.602051355	-6.787991628	-6.574122928	-6.693549309	-6.34195761	-6.730439313	-4.316553775	-6.324528606	-4.566056882	-4.360177006	-6.774158651	-6.831720315	-4.502641937	-4.342099094	-6.594041637
Patescibacteria	S23C10811-Flyer2018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-7.284046033	-20.72326584	-11.23873707	-20.72326584	-20.72326584	-10.94985491	-7.293642123	-0.810134513	-7.507311211	-7.976007921	-7.791486376	-8.369686362	-8.000973243	-20.72326584	-20.72326584	-7.853841598	-12.85408177	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-7.679985018	-20.72326584	-14.94631602	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-7.523031018	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-11.51243444	-7.813562802	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-20.72326584	-7.486395897	-20.72326584	-20.72326584	-20.72326584	-20.72326584
Proteobacteria	S23C1556-Lasker2018	-9.149201718	-9.476110279	-4.906898852	-9.060572784	-4.82512869	-8.156238225	-8.810831769	-9.014953292	-8.855388161	-9.317740076	-8.067558355	-9.337530087	-5.21483197	-8.808814546	-9.565994551	-4.822505761	-4.818544735	-4.696549014	-4.941374938	-5.435241479	-4.751725972	-4.673636518	-4.946590645	-5.013674809	-4.753197336	-5.296983656	-7.223523761	-4.785203842	-4.941745026	-4.846782999	-5.044517767	-4.882985007	-4.747062721	-4.57558352	-4.846520861	-4.494441037	-4.741369878	-4.888998693	-5.042858691	-4.680809129	-4.991163898	-5.497224995	-5.014092759	-5.173879899	-6.776685526	-4.707318699	-4.880838764	-4.935021507	-4.817503133	-4.515393012	-4.889885264	-4.633572541	-5.013184997	-7.263889312	-4.273982818	-7.318379372	-7.632005751	-4.995181019	-4.963864883	-8.063425879	-7.973709689	-4.924387646
Verrucomicrobiota	S23C195-Lasker2018	-6.521566029	-6.724102192	-3.825882145	-6.751347691	-3.054226994	-6.00397358	-6.271830038	-6.138932605	-6.125209448	-6.775402981	-5.121967605	-6.665653614	-3.729974152	-5.902186634	-6.523461034	-3.154839359	-3.48027822	-3.166305244	-3.281280597	-3.782698255	-2.932427182	-2.996621048	-3.258780506	-3.488749447	-2.914608298	-3.469738944	-3.830242071	-3.021567528	-3.007741233	-3.132586782	-3.568981643	-3.241131633	-3.187098345	-3.001117729	-3.249526932	-2.842358558	-2.976237517	-3.424954316	-3.447518374	-2.883476592	-3.506335122	-3.421534476	-3.085804388	-3.340200453	-3.698434357	-2.877314399	-3.736460448	-3.224518867	-3.551818931	-3.304150229	-3.534888067	-2.853726693	-3.624407223	-3.439938699	-3.374552101	-4.778986218	-4.470044365	-3.680731737	-3.742291961	-4.24492855	-4.632112492	-3.081605528
Proteobacteria	S23C2261-Lasker2018	-8.05379873	-8.682362336	-3.827617475	-8.086000494	-3.713400492	-7.054923923	-6.877508267	-7.462365615	-6.909466542	-8.384764901	-7.637146138	-8.081976581	-4.406273386	-7.3306642	-8.701720058	-3.655356365	-3.63587301	-3.735191701	-3.821842094	-4.592340539	-3.314476182	-3.44049844	-3.818937298	-3.81602697	-3.869634958	-4.398504614	-6.430456077	-3.690192516	-3.896416867	-3.825634918	-4.032159145	-3.533225471	-3.6577564	-3.516835767	-3.809284349	-3.87015129	-3.390166021	-4.060957969	-4.047433648	-3.476662226	-4.039290401	-4.756730441	-3.700964384	-4.252001823	-5.533602935	-3.539943961	-3.992313473	-4.054708282	-3.705857367	-3.098130802	-3.92251263	-3.419044366	-3.973983306	-6.456962056	-3.896448126	-5.669291284	-7.767791252	-4.231731699	-3.990213276	-7.130796398	-8.017933354	-3.666195765
Actinobacteriota	S23C2793-Lasker2018	-6.215813425	-6.44974263	-2.887064343	-5.95593649	-1.84916305	-5.584860221	-5.698673448	-5.452483046	-5.770649882	-6.282750439	-5.439306096	-6.041764188	-2.860461672	-5.702866854	-6.088346662	-1.961225952	-2.413199374	-1.909939397	-2.135850205	-3.068560182	-1.777558141	-1.863546463	-1.884386922	-2.45250345	-2.277262328	-2.823862564	-4.314502051	-1.862457459	-2.548721708	-2.644385626	-2.389630569	-1.97852217	-2.090745746	-2.006790062	-1.908166635	-2.690638503	-1.961057648	-2.175926266	-2.267083007	-1.753295229	-2.585957784	-2.700324606	-1.931898535	-2.22093579	-4.278118613	-2.01579969	-2.636539249	-2.756781344	-2.470254783	-2.383493014	-2.492242117	-2.006237839	-2.598441726	-4.072504717	-2.761220134	-4.7552634	-4.85105832	-2.919758664	-3.027069227	-4.715552177	-5.085598201	-2.431382167
Proteobacteria	S23C303-Lasker2018	-9.280972193	-9.669088859	-4.621772647	-8.867329062	-4.522032427	-8.234029361	-8.391397807	-8.252813651	-8.540944227	-9.223412947	-8.393246391	-9.387605494	-4.979994771	-8.627474405	-9.503804998	-4.392223648	-4.504269481	-4.311149172	-4.623622895	-5.261740781	-4.364336983	-4.444520613	-4.674265848	-4.715660168	-4.426868699	-4.97571661	-8.448990625	-4.490424559	-4.527260243	-4.419619266	-4.799227984	-4.62876814	-4.398593511	-4.108220023	-4.583799377	-4.424734323	-4.46081481	-4.66922733	-4.780150913	-4.432317653	-4.785345847	-5.40942939	-4.784555498	-4.934168889	-7.699957011	-4.564847676	-4.64751052	-4.677418028	-4.571777287	-4.264576526	-4.551848685	-4.498457805	-4.758188507	-8.684338098	-4.497700327	-7.874353423	-8.542589002	-4.919623293	-4.810122579	-8.90989754	-8.821451087	-4.627006881
Proteobacteria	S23C31-Lasker2018	-8.779297125	-9.409376555	-5.302415292	-8.998184727	-4.623839682	-8.283457139	-8.389888784	-8.272094508	-8.569908022	-9.111644476	-7.556246544	-9.086966152	-5.270846237	-8.330679227	-9.121056633	-4.606022149	-4.786853706	-4.5110073	-4.858802327	-5.457416902	-4.57938422	-4.507667321	-4.842410887	-5.024602153	-4.540436371	-5.070970071	-6.050849395	-4.622938003	-5.130442546	-5.171515567	-4.925298938	-4.707056189	-4.48571912	-4.340944194	-4.771177192	-4.599980774	-4.530087946	-4.759683131	-4.700240824	-4.576693911	-4.845416916	-5.137941089	-4.556780673	-4.709625445	-5.848216861	-4.354111746	-5.029447081	-4.740428669	-4.970781296	-4.842965807	-4.807908718	-4.265733847	-4.885648733	-5.445079674	-4.858379981	-6.084064295	-6.396698782	-5.203652668	-5.18582017	-5.969755894	-6.433913276	-4.629819551
Proteobacteria	S23C47-Lasker2018	-6.394316153	-6.770759768	-2.762726142	-6.384891743	-2.445662002	-5.753495093	-5.978131429	-5.881867028	-6.015714945	-6.57948588	-4.861186809	-6.503272787	-2.872225366	-5.844374737	-6.447068858	-2.506788386	-2.660005157	-2.357885553	-2.696027835	-2.993341314	-2.451902477	-2.429537478	-2.53465851	-2.663148143	-2.291050859	-2.745813347	-3.167673145	-2.382081163	-2.592762596	-2.573089536	-2.748744063	-2.657150321	-2.474638971	-2.411305279	-2.544987779	-2.493903831	-2.505817138	-2.629732428	-2.694308685	-2.442911393	-2.712398717	-3.016760893	-2.728102343	-2.857078719	-3.037415868	-2.437429164	-2.666291744	-2.74747589	-2.745487446	-2.591008894	-2.715317429	-2.519204212	-2.872218225	-3.250272121	-2.663846955	-3.382418661	-3.284169271	-2.99651476	-3.112176476	-3.741719629	-3.297571392	-2.778333238
