		RL2103c001_100m-2	RL2103c001_48m-1	RL2103c001_5m-1	RL2103c002_100m-1	RL2103c002_48m-3	RL2103c002_5m-1	RL2103c009_20m-1	RL2103c009_40m-1	RL2103c009_5m-3	RL2103c010_25m-3	RL2103c010_50m-2	RL2103c010_5m-1	RL2103c014_25m-3	RL2103c014_55m-2	RL2103c014_5m-1	RL2103c015_30m-2	RL2103c015_5m-1	RL2103c015_80m-3	RL2103c019_100m-1	RL2103c019_44m-2	RL2103c019_5m-2	RL2103c023_5m-2	RL2103c023_60m-1	RL2103c024_100m-2	RL2103c024_40m-1	RL2103c024_5m-1	RL2103c025_100m-2	RL2103c025_40m-2	RL2103c025_5m-1	RL2103c032_5m-3	RL2103c032_66m-3	RL2103c032_80m-1	RL2103c033_100m-3	RL2103c033_35m-3	RL2103c033_5m-1	RL2103c034_100m-2	RL2103c034_34m-1	RL2103c044_100m-3	RL2103c044_52m-2	RL2103c044_5m-3	RL2103c045_100m-2	RL2103c045_23m-2	RL2103c045_5m-1	RL2103c046_15m-3	RL2103c046_30m-2	RL2103c046_5m-3	RL2103c049_23m-1	RL2103c049_5m-1	RL2103c049_93m-2	RL2103c050_100m-2	RL2103c050_21m-2	RL2103c050_5m-3	RL2103c067_100m-1	RL2103c067_57m-2	RL2103c067_5m-3	RL2103c068_37m-3	RL2103c068_5m-3	RL2103c071_5m-2	RL2103c071_68m-2	RL2103c072_100m-2	RL2103c072_35m-2	RL2103c072_5m-1	RL2103c074_100m-1	RL2103c074_13m-1	RL2103c074_5m-1	RL2103c077_19m-1	RL2103c077_5m-2	RL2103c077_70m-1	RL2103c078_100m-2	RL2103c078_27m-2	RL2103c078_5m-2	RL2103c081_45m-2	RL2103c081_5m-2	RL2103c088_51m-2	RL2103c088_5m-1	RL2103c089_100m-3	RL2103c089_20m-1	RL2103c089_5m-2	RL2103c090_100m-3	RL2103c090_53m-1	RL2103c090_5m-2
Bacteroidota	S16C283-Lasker2018	-5.030793819	-3.703726082	-3.834430358	-6.580577531	-3.041279665	-3.246055596	-6.628955437	-7.087841676	-6.550961082	-6.273526018	-7.232500516	-6.541462416	-4.357137749	-5.264510126	-5.618303922	-4.918126895	-5.733833528	-6.712264403	-8.251242021	-6.000695057	-5.033560352	-4.593917634	-6.599594631	-5.186775366	-4.989913457	-4.939691906	-6.512654226	-5.373839939	-4.797404815	-5.138038985	-6.781207477	-7.043011129	-7.642334182	-4.779570241	-5.06880025	-10.32753872	-4.983782723	-9.273021888	-6.01131499	-3.786563245	-9.069207544	-3.981176801	-3.699037998	-5.180380476	-4.731554721	-5.223950372	-6.033147537	-6.394408077	-9.101067579	-10.32199292	-5.133782509	-4.303242146	-9.305969943	-5.273931416	-5.770681026	-5.399814178	-5.741217648	-4.727088811	-5.481773727	-10.74982274	-5.210203857	-4.821904322	-9.41592511	-3.698934275	-3.990829985	-6.465643409	-7.061913842	-7.936852624	-13.61698762	-5.424581833	-5.326838186	-6.75327274	-5.965543031	-6.000106058	-6.308470856	-4.988104187	-4.654922983	-4.542129474	-12.80046098	-5.381198449	-5.086630133
Proteobacteria	S16C36-Lasker2021	-7.810512454	-5.112810721	-5.252626572	-8.506506597	-5.94717853	-3.748458433	-5.786211603	-8.545808996	-3.928648089	-5.02256916	-8.12676098	-4.172177982	-3.971299396	-2.52683587	-2.107554712	-1.889632281	-1.744762621	-5.449068166	-8.370179606	-4.613620691	-2.705598469	-3.500805673	-5.212090864	-6.717785379	-6.25134138	-6.017103637	-9.529058313	-8.006647607	-6.977377581	-3.751290491	-6.52267963	-6.702559673	-8.360493207	-3.612419946	-3.180855568	-20.72326584	-8.238781078	-11.78666966	-12.84076905	-11.68984703	-10.13627054	-10.99846677	-11.88205537	-7.86519298	-8.096570935	-7.981103411	-9.094006208	-9.459971261	-9.374187948	-10.63892501	-12.31924717	-9.474626412	-9.08208349	-8.157975987	-8.842556155	-8.554644207	-9.090914633	-8.454734864	-8.669182692	-12.6034248	-9.641769959	-8.568068257	-12.75113198	-9.248229796	-8.74112743	-3.225624269	-5.461420161	-5.635190804	-12.62423605	-5.444236485	-4.202328182	-10.55133783	-6.63058145	-7.599137817	-7.808652477	-10.43522532	-9.755077754	-9.576406273	-11.31835811	-9.236731782	-8.436549449
Proteobacteria	S16C45-Lasker2018	-6.246945719	-5.810494136	-5.533514446	-6.666466787	-5.543360549	-5.115328532	-7.132452411	-7.79440095	-7.113570585	-8.051702982	-7.747242274	-7.579379352	-4.788982093	-4.458725406	-3.870225183	-4.344832512	-3.752858132	-5.479326545	-7.565271258	-4.903074138	-4.090034265	-3.606387551	-5.459321514	-5.317722759	-4.525202743	-4.645116626	-6.170646526	-4.357681478	-4.585283886	-5.669552744	-5.76206976	-5.815387446	-7.036618044	-5.555250872	-6.28433649	-6.68329843	-5.313745693	-7.188263068	-6.725848308	-6.431058102	-6.848208037	-6.831017596	-6.611597502	-6.138713598	-5.549549741	-6.098726781	-6.121341824	-7.387082494	-7.481609986	-7.475790365	-6.218180873	-6.26633654	-5.990940524	-4.735494156	-4.44375022	-4.5933349	-4.826549045	-6.869930732	-6.173654609	-7.851368802	-6.231161757	-6.041323923	-8.401512364	-5.442539369	-6.038010266	-7.166833698	-8.83642221	-6.025597174	-5.471044838	-5.734140038	-6.136067888	-7.345369475	-6.522784758	-7.723396768	-8.352714543	-6.041469745	-6.27833351	-6.154915346	-7.541740177	-6.669522071	-6.617255031
Proteobacteria	S16C660-Lasker2018	-1.305611289	-0.984111431	-1.906407844	-1.226380182	-1.633047636	-2.483742636	-0.360959537	-0.873843592	0.294460026	-0.125971128	-1.944206344	0.439333575	-1.772368274	-1.428446819	-0.98133754	-0.790485293	-0.579904497	-1.488356451	-2.373881856	-1.227089034	-0.469559566	-0.555190047	-1.804967628	-0.305882974	-0.168483386	0.044847355	-1.819538266	-0.950589929	-0.070996373	-0.722848611	-1.927043934	-1.870539328	-2.429448401	-0.310279276	-0.32183869	-5.127418181	-1.102250315	-3.486333006	-1.819443576	-1.077219658	-2.970017725	-0.914637347	-0.847338759	-0.008492256	0.142532276	-0.209099506	-0.378966127	-0.163256377	-3.578150896	-4.703531917	-1.190297732	-0.992683637	-2.965254127	-0.479787332	-0.146611073	-0.279018244	-0.069287121	0.194423779	-0.266869105	-4.272053358	-0.359186809	0.213248841	-2.521288379	-0.066178477	0.044565061	-0.082908785	-0.581947258	-1.980112749	-7.158263527	-0.602162888	0.111261104	-1.360133944	-0.28903325	-0.484662384	-0.643089704	-1.341454002	-1.025456336	-0.944004482	-5.654126828	-0.943731045	-0.861515015
Thermoplasmatota	S16C713-Lasker2018	-2.950769214	-2.347609708	-3.6739923	-3.052332869	-2.214212514	-2.340832945	-3.324299787	-3.26720402	-3.695115619	-3.557304078	-4.456862773	-3.911872867	-2.214671464	-2.344774366	-2.646228729	-2.119476171	-2.208841039	-3.240970499	-4.804279634	-3.57974638	-2.475113943	-2.567482179	-4.057328123	-2.956724968	-3.738770953	-3.75492174	-5.069002115	-3.892107884	-3.916045334	-2.96053582	-3.815150728	-3.881111575	-4.658674133	-2.577768178	-2.994059573	-8.187576975	-4.71800848	-4.433123738	-3.276723553	-3.273281827	-4.169982147	-3.124208556	-3.30625015	-2.270205506	-2.144189945	-2.326713752	-1.152792226	-1.588364617	-4.679065519	-5.291507606	-1.014790859	-1.092034457	-4.737527297	-1.02953429	-0.660305615	-1.026555836	-0.784752816	-2.524799064	-2.347707917	-6.02819094	-2.418578258	-2.44236457	-4.61236269	-2.975366452	-3.022156314	-4.164486787	-4.661870281	-4.110925876	-9.082221073	-4.109599936	-4.121711299	-3.577224275	-4.875506372	-3.902903168	-3.678061539	-3.879463806	-3.062727591	-3.035972333	-10.46000527	-3.01617405	-2.977483127
Bacteroidota	S16C914-Lasker2018	-3.288681875	-2.536363103	-3.292149022	-4.03836533	-2.322250893	-3.358136886	-2.549859964	-2.998099112	-2.247437741	-2.521339901	-4.611081423	-3.144000824	-2.657763358	-3.198807645	-3.712551315	-3.222436456	-3.856979813	-4.833787189	-6.289833549	-4.743208405	-3.490011087	-3.150995916	-4.820700789	-4.096537184	-4.21651423	-4.392761892	-5.902566774	-4.641948285	-5.30139249	-3.20405788	-5.080599065	-5.217173843	-6.083473043	-3.319970701	-3.09760747	-10.40614172	-5.477255844	-7.08455888	-4.980126943	-3.991664877	-6.832202729	-3.558428165	-3.513155682	-2.58567916	-2.301081554	-2.610663892	-4.601153763	-5.389004356	-7.767555854	-8.391928568	-4.89832258	-4.174059456	-6.754002707	-2.368458467	-3.579891175	-2.625070765	-3.040635481	-3.043550749	-3.0097238	-8.111422363	-2.918498177	-3.095483064	-5.973057796	-2.695975134	-2.960501162	-3.250356301	-3.423433144	-5.698146994	-11.6628117	-4.990194929	-4.568701815	-3.546839344	-2.833584258	-2.36291073	-2.684413595	-4.020096698	-3.472919306	-3.191341449	-12.84636248	-3.628290598	-3.107902433
Actinobacteriota	S17C107-Lasker2018	-3.860967124	-8.447695441	-9.088375391	-4.28645707	-10.35959607	-12.24697443	-9.550322842	-7.656785513	-10.59628335	-7.890188271	-4.026896235	-10.74820534	-5.400270228	-4.09878364	-8.455263586	-6.211778456	-8.698645526	-2.712460849	-2.002921109	-3.817207448	-6.649245974	-7.069406115	-3.204893091	-4.20943257	-9.803450797	-9.77971626	-4.126997452	-5.948306978	-7.529221631	-5.463960819	-2.626067816	-2.392275025	-2.035245756	-5.137201282	-5.875563174	-2.107134953	-5.84234203	-2.67762135	-4.690339697	-9.958234509	-2.55906685	-13.08826741	-14.37488902	-8.490612509	-7.651972958	-8.583708759	-4.640781405	-10.06986325	-1.468873549	-2.527144383	-10.75451667	-12.85412895	-2.111089026	-5.424472148	-11.00607057	-5.808072563	-9.363190618	-10.63570389	-3.849098724	-2.070926688	-4.462570361	-9.44286143	-2.629299083	-9.166320329	-11.96238455	-8.476978069	-10.74366955	-2.905807405	-1.885239564	-6.582753434	-10.50434292	-4.452071831	-12.09698568	-10.78665884	-8.389721245	-6.064166431	-8.291585638	-8.2080651	-2.181120567	-6.094964661	-6.081391487
Marinisomatota	S17C1460-Lasker2018	-4.619825553	-8.346282787	-8.86137232	-4.904877	-9.83456587	-20.72326584	-11.0047619	-8.605190163	-9.982457602	-7.927429039	-4.867721693	-13.00773375	-5.631380226	-4.592743419	-8.290834414	-6.320745527	-8.493821451	-3.125525952	-2.203545232	-4.281329247	-6.979847108	-7.563975143	-4.065648132	-4.415268514	-10.55191708	-9.951794783	-5.436975938	-7.28889209	-7.233727692	-5.833447295	-3.091421243	-2.598116478	-2.294566319	-5.694415225	-6.192865394	-3.092331592	-7.218788684	-2.678188615	-4.585540123	-10.28663188	-2.166334866	-13.00861407	-13.52017041	-7.659213712	-7.202742905	-8.037431081	-4.203177567	-8.770711224	-1.100588397	-1.949770544	-9.638828999	-12.88065063	-1.776488973	-4.810088947	-10.08349518	-5.325045255	-7.730472634	-8.529748885	-3.79352165	-1.725085823	-4.281589258	-9.904208532	-2.507290906	-9.271941983	-10.59469362	-8.974584689	-8.895428688	-3.387925711	-3.044333721	-6.713156892	-9.763197315	-5.111304946	-10.61335628	-11.15744612	-9.011438941	-5.71156629	-8.06822361	-8.010967933	-3.385962435	-6.513652141	-6.665621587
Proteobacteria	S17C156-Lasker2021	-5.587084027	-5.19719858	-6.582998183	-5.35979519	-5.837486294	-5.936573413	-4.439764821	-4.724500268	-4.431579297	-4.68363023	-6.028819019	-4.335551835	-4.29865949	-4.410491708	-3.835295742	-4.030089738	-2.941118888	-5.451004924	-7.282221409	-5.227350123	-3.945429645	-4.029403753	-5.391861746	-4.87384655	-4.399821631	-4.151907787	-5.858577872	-4.278310863	-4.581187386	-4.521165859	-5.851945173	-6.05005569	-6.987332005	-4.57825322	-4.425945628	-9.665607519	-4.671116631	-8.124669463	-6.264419491	-5.649233411	-7.819575195	-5.649443505	-5.731512482	-4.606470831	-4.486113784	-4.68461553	-6.693618568	-6.80752884	-9.67624832	-12.20681746	-7.494410484	-8.252862515	-7.518854011	-3.891309127	-3.865138227	-3.751937898	-3.791044414	-4.775841313	-4.874822182	-9.47484734	-5.030988982	-4.755997029	-8.288421269	-4.855776202	-4.872181185	-4.301281282	-4.940246078	-6.457336882	-10.40609415	-3.969488096	-4.305001336	-5.091976595	-4.547183865	-4.540567323	-4.631105415	-6.402001375	-5.807039537	-5.75085056	-10.79266319	-5.478544398	-5.293150339
Proteobacteria	S17C36-Lasker2021	-7.40167418	-4.973639323	-5.100419815	-8.402763015	-5.744493007	-3.669380559	-5.605998766	-8.038528211	-3.811997053	-4.926212853	-8.268782675	-4.096527022	-3.900153675	-2.431996971	-1.980342976	-2.218054064	-1.335241498	-5.338788589	-8.486193389	-4.479867759	-2.548199087	-3.341827749	-5.083830956	-6.63591353	-6.118737258	-5.826623047	-9.768762657	-8.149871204	-6.925289814	-3.64556268	-6.27612463	-6.702365599	-8.349743846	-3.513661367	-3.04385055	-13.17493359	-8.067406523	-10.7152309	-10.96871714	-10.36776088	-10.05035148	-12.53255662	-12.1787295	-7.617117414	-7.749228655	-7.978282861	-9.627668458	-10.0057296	-10.05806334	-12.55286317	-10.37564691	-9.660307989	-9.025871123	-8.086284371	-9.295807469	-8.411660351	-9.063361232	-8.445151964	-8.488772464	-11.48474421	-8.708003516	-8.160457089	-11.6985459	-8.892013558	-8.830161141	-3.076540154	-5.298042004	-5.610146459	-20.72326584	-5.308806647	-4.119495553	-9.749082305	-6.520413273	-7.532476517	-7.546081564	-10.67098451	-8.814949102	-9.370095477	-13.51127621	-9.274563263	-8.125828495
Proteobacteria	S17C579-Lasker2021	-0.051351348	0.552622133	-0.313393119	0.299332443	-0.038310255	-1.106155011	0.761037111	0.52098627	0.970128972	0.642745068	-0.738528342	1.017202177	-0.52953251	-0.312223292	0.479453836	0.362591915	0.76961222	-0.723436586	-1.803993758	-0.33678568	0.747746345	0.633324563	-0.704093835	0.526008716	0.772415743	1.019276831	-0.769612111	0.264587868	0.927688609	0.451531885	-1.084717576	-1.104364599	-1.694005164	0.663704622	0.821164864	-4.274506716	-0.091738385	-2.459313116	-0.479964109	0.390369407	-2.307563454	0.584029728	0.676849848	1.333164381	1.51656927	1.180268556	-0.29889726	0.470210733	-3.366051392	-4.777312092	-0.670254351	-1.33571874	-2.120597334	0.877939516	0.604604123	0.89698868	0.825135772	1.464557957	1.059289171	-3.480428561	0.924628556	1.401626964	-1.498030889	1.113860246	1.189176436	0.925708327	0.549842067	-1.312853393	-5.294314469	0.489408445	1.056606573	0.402674552	0.939523196	0.795980581	0.753731331	1.420652792	1.594521129	1.614903748	-4.68648068	1.432508281	1.372105372
Proteobacteria	S17C87-Lasker2021	-6.561578923	-7.051413039	-9.831583722	-6.465868178	-7.23627411	-4.07720312	-5.719560851	-5.982521377	-5.366752322	-6.124426411	-7.443796955	-7.162491799	-1.387541294	-1.651700887	-0.547967591	-1.01068383	-0.340155289	-3.913808148	-6.498258575	-2.894761943	-0.876526654	-1.321592412	-3.098575117	-4.318715179	-2.487144732	-2.326126316	-6.333465173	-4.414107858	-4.182844421	-2.671697129	-4.32078291	-4.650068394	-6.011014937	-3.008656331	-2.990139184	-7.604795628	-3.336277405	-5.358261445	-5.021679957	-5.804253464	-4.913610903	-4.625669264	-4.64069281	-4.29817796	-4.243503163	-4.19842037	-6.559540683	-6.037086794	-8.490414804	-11.11451404	-7.096807113	-7.988445767	-4.88803634	-1.790060607	-1.984870391	-2.100300293	-2.617338428	-5.015327134	-4.157040686	-6.520987889	-4.411906711	-4.965394708	-6.651297036	-5.936813951	-6.129828168	-5.05638447	-7.078105902	-6.365160327	-9.934686745	-3.143726122	-3.411734927	-4.726789722	-6.229453498	-5.690313095	-5.908429693	-10.64146889	-11.14041305	-9.915421601	-8.753283061	-8.395640514	-7.961416478
Verrucomicrobiota	S18C2904-Flyer2018	-3.991295514	-7.269209195	-8.630194378	-3.941015248	-11.00738862	-11.7291757	-8.517167642	-6.927241304	-10.89575995	-7.073622337	-3.758338005	-9.13722821	-5.03339599	-4.400183844	-7.860002854	-5.654511569	-7.97186603	-3.327762801	-2.820486676	-3.457211412	-6.331953592	-6.165111279	-3.22168424	-4.151822182	-7.535474334	-7.995216967	-3.374835402	-4.965091107	-6.410315609	-4.935897097	-3.338932045	-3.39988746	-3.151606715	-5.319535426	-5.747428704	-3.194603837	-4.511203636	-3.536113664	-4.094367822	-7.758268687	-2.875920879	-10.10065407	-10.3502956	-7.415651764	-7.152837099	-7.776685916	-4.795562827	-9.196656228	-2.631067063	-3.4026999	-8.340417401	-11.8893996	-2.656463793	-5.682481382	-10.01946373	-6.052032593	-8.344238029	-7.505143653	-4.26923052	-2.618307157	-3.973232195	-7.879064129	-2.367675062	-7.562233726	-8.599881291	-7.534456453	-7.838771526	-3.577243594	-3.878221082	-5.870028317	-8.378566502	-4.890102748	-10.26038921	-8.514315835	-7.304935898	-6.144638711	-7.243707151	-7.140250345	-3.176300696	-5.716160487	-5.841917557
Bacteroidota	S19C1335-Lasker2018	-9.105614748	-7.055856295	-6.733839536	-9.071192183	-6.705816896	-7.639625305	-7.271576339	-8.205957667	-6.605748793	-7.737172456	-9.981368341	-6.93803004	-8.723719453	-7.998898034	-7.195604432	-7.75652798	-7.079287649	-8.906775477	-9.966216299	-8.428781799	-7.153570706	-6.671121215	-8.757352696	-7.854538466	-7.48495013	-7.630347377	-9.4989773	-8.509670855	-7.863686152	-7.751646655	-9.329811081	-9.53486971	-10.09971835	-7.935222015	-7.575433271	-12.20423973	-10.95661743	-10.35519589	-8.186474726	-7.327249993	-9.650315562	-7.222916262	-6.979020588	-7.242848786	-6.898683255	-7.19991622	-6.453366365	-5.506769615	-9.912412865	-12.43696398	-7.056065978	-6.51948238	-7.903057644	-5.09194005	-3.754270477	-5.192492299	-5.034103383	-6.875118113	-7.814389287	-10.97299806	-8.005793452	-6.841627053	-10.99670999	-7.158764882	-6.812429554	-7.65676963	-7.746144093	-9.678393744	-12.63407282	-8.447473258	-7.645600163	-7.563645481	-5.490513275	-6.302510509	-6.772525592	-6.515639275	-5.653348805	-5.327631457	-14.2049046	-6.323236057	-6.276341916
Proteobacteria	S19C400-Lasker2018	-2.615794486	-2.521576389	-3.558484655	-2.642727513	-3.045437125	-4.239313295	-1.868546645	-1.905328039	-2.10824434	-2.344928755	-3.042923152	-2.428951008	-2.569018721	-2.595586542	-1.814717534	-2.281939184	-1.970985918	-3.180979763	-4.383224552	-2.654423452	-1.924669197	-1.514479517	-3.258508007	-2.687423134	-2.800752554	-2.809009566	-3.533879798	-2.20081897	-2.417870352	-2.225241523	-3.459644159	-3.642447573	-4.360311406	-2.37554725	-2.01785632	-5.35815315	-2.467603013	-4.488653463	-3.136324006	-1.951469798	-4.279594314	-2.147400083	-1.817535653	-2.483501146	-1.797023876	-2.446310947	-2.495662313	-2.553084027	-4.902569182	-5.672493423	-2.530228617	-2.064200904	-4.259636486	-1.467607715	-1.563444221	-1.328733134	-1.674680089	-2.66569563	-2.400108389	-5.305228796	-2.352017898	-2.207142277	-4.375987626	-1.732918889	-2.108062102	-2.211257278	-2.895114043	-3.634533779	-5.91312675	-1.937286146	-2.643972968	-2.768878797	-2.324120106	-2.43738608	-2.800952132	-3.097609773	-3.392221119	-3.406427505	-6.269629174	-3.386413592	-2.948270839
Bacteroidota	S19C702-Lasker2018	-8.783169286	-8.297320584	-8.627671503	-9.897622068	-7.516443579	-7.170839052	-9.015992423	-9.849671695	-8.479630679	-8.830428176	-9.633928861	-8.470641722	-8.183032123	-8.37625151	-7.365934612	-8.388352539	-7.14268628	-9.51634067	-8.792249505	-7.908592809	-7.690283201	-7.354049304	-8.362376019	-7.65243353	-8.009756413	-7.587516848	-9.664816224	-7.962672648	-6.852352455	-8.19663005	-9.644578944	-8.483708272	-9.875731578	-7.897742875	-8.182269153	-11.09057984	-8.405826474	-7.364333119	-5.853519419	-4.291981637	-7.664355064	-4.567380207	-4.186079463	-7.017604297	-6.189416537	-6.764843086	-2.950887922	-2.334095048	-6.693785196	-7.265611349	-2.823705729	-1.797116587	-7.983024802	-3.666279723	-2.167054211	-3.516300772	-3.283575026	-5.83432679	-6.536725037	-9.008909892	-6.331079894	-6.0317703	-8.916189766	-5.735983487	-5.973121887	-8.935994862	-7.973497748	-9.502246152	-20.72326584	-8.227189067	-8.482711671	-9.890972138	-8.971043826	-8.80871168	-9.245737731	-9.117609971	-8.729657532	-8.541051962	-20.72326584	-9.113977882	-8.92601593
Thermoplasmatota	S1C1023-Lasker2018	-4.361749218	-7.74940038	-10.18736094	-4.026144509	-11.17615406	-13.48074485	-9.56629429	-8.064050601	-11.4222743	-7.872041407	-4.456205846	-11.10132389	-4.361096643	-3.635040987	-7.494942356	-4.728719112	-7.203145382	-3.322807806	-3.268754699	-2.602704172	-5.962022062	-6.647613637	-2.19534274	-3.093570177	-7.782327219	-8.173180172	-2.590708783	-3.558403485	-3.575416456	-5.496207609	-3.1484319	-3.260255345	-3.44135466	-4.262859881	-5.446030446	-2.2737787	-3.330523815	-2.030711486	-1.487898647	-7.007986594	-2.572295874	-8.504119279	-8.668493114	-8.675061071	-7.987441059	-8.962312773	-3.447558093	-7.490354064	-3.397576625	-2.107839905	-4.937050962	-8.2967042	-4.044704816	-5.45130469	-7.593162689	-4.93233945	-7.482848883	-8.743230551	-3.905219651	-2.970413418	-3.154681887	-7.705179784	-2.894101981	-7.744183489	-9.509366222	-8.543528235	-10.77601961	-3.823382015	-3.855623816	-4.381267563	-7.801537245	-6.227148704	-11.8226041	-10.64833379	-9.236012807	-7.808001047	-10.11606275	-10.28207614	-3.515914434	-5.728562735	-6.494560059
Proteobacteria	S1C183-Lasker2018	-9.324585125	-11.50489366	-11.18845887	-11.45854174	-10.12151745	-11.9793641	-12.07471068	-20.72326584	-14.32935717	-14.63051988	-12.85587927	-13.71588995	-10.54510049	-20.72326584	-14.41123987	-13.37010596	-12.49057825	-13.24393277	-11.24852466	-8.198746842	-10.28569366	-12.84888955	-10.54416081	-12.63421468	-9.900841556	-14.0151563	-11.67747033	-10.12381295	-11.72909725	-9.419880989	-11.6705724	-11.9525062	-11.14187666	-12.00293971	-14.0122457	-11.50735889	-11.31890206	-11.06485295	-10.02355423	-9.659050188	-11.40559114	-10.888378	-12.2155375	-10.33506331	-13.48397377	-20.72326584	-10.22963786	-11.8844146	-12.0502205	-11.34222804	-9.149892989	-9.307357237	-13.25239587	-9.888237921	-12.59114765	-9.14185557	-10.49292819	-8.723381671	-11.07884051	-9.205543137	-6.815405659	-10.56078913	-9.764395017	-7.834750096	-9.52273189	-6.920363024	-10.25366636	-9.380076696	-7.46161202	-5.876432848	-9.131206416	-9.258062996	-7.571560574	-8.526113156	-9.071581541	-7.197370993	-6.98351791	-8.072203987	-9.067374437	-7.611537006	-8.108375808
Proteobacteria	S1C271-Lasker2021	-2.645904323	-2.492787087	-3.678910826	-3.161366073	-2.473618153	-2.593891579	-3.250287883	-3.321295918	-3.529521453	-3.264891308	-3.792297192	-3.151216148	-3.149617569	-3.702058315	-3.083664766	-3.007954643	-2.963212016	-4.566033467	-5.475881617	-3.78161476	-3.146746856	-3.288437635	-4.340218272	-3.542264042	-3.451937903	-3.182105323	-3.900836409	-2.631994222	-2.883066862	-3.180282304	-4.868999634	-5.1455077	-5.695424322	-3.23837169	-3.084333459	-7.752209653	-3.033701238	-5.88366433	-3.951893161	-2.728208481	-5.644625291	-2.863262367	-2.975843944	-3.805660447	-3.565871833	-3.862960259	-3.76594894	-3.716108421	-6.438198124	-6.835077844	-3.158987921	-2.667420083	-6.723791654	-3.212737081	-3.310903371	-3.179939094	-3.260036913	-3.578778365	-3.728026186	-6.946684722	-3.686875703	-3.667691356	-5.254980138	-3.370260297	-3.476864768	-3.020253086	-3.033470258	-5.256668834	-8.416451064	-2.643152646	-3.151415303	-3.515795432	-3.62850292	-3.15051616	-3.144390276	-3.849672157	-3.541812122	-3.532651801	-8.449964495	-3.371416905	-3.232803897
Verrucomicrobiota	S1C2904-Flyer2018	-3.976637743	-7.340759738	-8.186798421	-4.010428541	-10.44625527	-11.50469106	-8.76213115	-6.917807433	-10.21093542	-7.052598813	-3.780664754	-8.828993996	-5.147128904	-4.422710639	-8.441883235	-5.624039861	-8.233451447	-3.3548622	-2.839996559	-3.496112145	-6.486140941	-6.202023764	-3.293883598	-4.219589945	-7.7013268	-7.983331145	-3.427729126	-4.997173714	-6.400778352	-5.00347504	-3.379025769	-3.415852911	-3.165607157	-5.372027203	-5.721012615	-3.229546025	-4.553967268	-3.526953378	-4.18758285	-7.989467384	-2.9171773	-10.20302774	-10.59639056	-7.46126409	-7.34211026	-7.533443831	-4.870827318	-9.099828239	-2.675334905	-3.437448246	-8.38377183	-11.62654174	-2.744129071	-5.748484989	-9.886905754	-6.079033651	-8.280832058	-7.6621689	-4.327354035	-2.681533458	-4.065000016	-7.975351284	-2.408688818	-7.854310753	-8.570959436	-7.317432586	-7.839815549	-3.636689096	-3.90513106	-5.867941572	-8.389668384	-5.00916553	-10.25487365	-8.896185175	-7.173602999	-6.269095805	-7.291002048	-7.117470273	-3.210179795	-5.801055152	-5.923950208
SAR324	S1C3692-Flyer2018	-2.082940046	-3.635390518	-5.035113516	-1.541706271	-4.99146135	-7.710696701	-6.146225273	-5.185767735	-8.294090441	-4.749582851	-2.356175487	-7.850062832	-2.15355113	-2.234554355	-4.717036038	-2.613779957	-4.334492879	-2.087194631	-1.893977388	-1.583377889	-3.62463969	-3.803987994	-1.403465582	-2.118966702	-4.518099036	-4.755390118	-1.505975232	-1.852223098	-3.34867075	-3.277378439	-1.863535826	-1.855871195	-2.074356246	-2.316760988	-3.221930711	-1.30989692	-1.833332052	-1.606085383	-1.680142224	-5.529237326	-1.826438551	-7.850522798	-8.102920583	-5.632291143	-5.110421326	-6.008932223	-2.776457781	-6.745380085	-2.132949573	-1.677784523	-4.133799055	-9.396047012	-2.301342555	-3.706063823	-6.509908315	-3.62731801	-5.463409486	-6.397785181	-2.913960121	-1.808482924	-2.544726708	-6.224406092	-2.20754785	-5.850835433	-6.871730629	-4.738330219	-7.482432904	-2.314485209	-1.652125078	-2.453774666	-5.075125816	-3.244540334	-9.169265849	-6.67005791	-5.093438646	-3.034571943	-4.042898727	-4.013027301	-1.591936357	-3.318065254	-3.372334307
Proteobacteria	S1C39-Lasker2018	-10.30098166	-10.34751929	-11.53598736	-10.39614221	-9.869046745	-9.723187571	-10.94351404	-10.68049472	-10.43876333	-10.37253525	-10.62436077	-10.67443996	-10.28001978	-10.61253495	-9.785250504	-10.18672496	-10.75433751	-10.52623674	-10.72330306	-10.55140297	-10.36048683	-10.60688121	-11.10364106	-10.4924139	-10.93273967	-10.42910213	-11.25774339	-9.823133256	-10.26142567	-10.61787573	-10.31810383	-10.9393946	-10.91525019	-10.3998343	-10.25435065	-10.85224595	-10.31542106	-10.96169975	-10.84593799	-10.73803227	-10.79012677	-10.38835389	-10.58468885	-10.80470609	-10.73868155	-10.67491027	-10.99521821	-10.69830372	-10.3239923	-11.08354899	-10.64585805	-10.78823039	-10.32050673	-10.3101041	-10.64881208	-10.5198313	-10.52556974	-10.68714946	-10.85331211	-11.48590804	-10.57722626	-10.92506925	-11.82090881	-10.84207272	-11.00890478	-10.16835324	-10.59038176	-10.42918349	-11.1394273	-10.31594504	-10.62039724	-10.04379937	-10.76978142	-10.60695581	-10.37161678	-11.30732815	-10.50880658	-10.53663491	-11.02837854	-10.54316684	-10.52140879
